key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,04.03.2024
Export Time,19:14:14
Frame Index Range:,0 - 2080
Relative Time Range,00:00.000 - 00:35.059
Absolute Time Range,23038.678412778685 - 23073.73772369177
