key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,13.02.2024
Export Time,11:55:47
Frame Index Range:,0 - 1739
Relative Time Range,00:00.000 - 00:52.100
Absolute Time Range,2970.832750325775 - 3022.932817464447
