id,Intercepted,Spawning
1.0,3.459747314453125,0.00203704833984375
2.0,,1.5222396850585938
3.0,5.97650146484375,3.0388717651367188
4.0,6.4705963134765625,4.5434112548828125
5.0,8.01416015625,6.057525634765625
6.0,9.059661865234375,7.5594635009765625
7.0,10.384773254394531,9.075813293457031
8.0,12.116233825683594,10.589851379394531
9.0,13.659919738769531,12.104911804199219
10.0,14.861663818359375,13.615043640136719
11.0,16.421035766601562,15.117019653320312
12.0,18.110397338867188,16.627395629882812
13.0,19.36688995361328,18.119049072265625
14.0,21.57300567626953,19.62701416015625
15.0,22.423797607421875,21.137344360351562
