time,norm_pos_x,norm_pos_y,angular_distance,angular_velocity,movement_type,smoothed_norm_pos_x,smoothed_norm_pos_y,smoothed_angular_distance,smoothed_angular_velocity,smoothed_movement_type
0.051744937896728516,0.4436832855967953,0.5594976465074504,0.9003364630358227,-0.9165680826227561,Saccades,0.42693177417306494,0.5609400332913449,0.9202286297356085,-0.06761930142734426,Smooth Pursuit
0.05350661277770996,0.4440702636981363,0.5628082690646246,0.9027828623349066,1.3886780844152953,Saccades,0.4273104984438675,0.5610317413466135,0.9198800571919309,-0.19786428667439557,None
0.05608558654785156,0.4457911203210695,0.5610675895632887,0.8993930094319456,-1.3144193020524153,Saccades,0.4294634056961148,0.561084777926357,0.9175016053064309,-0.9222474121438694,Saccades
0.0590205192565918,0.4479956746235219,0.5618715832074938,0.8976870727418683,-0.5812524031630961,None,0.43548643108336405,0.5614867747484595,0.9111145289663917,-2.176225819767004,Saccades
0.06310462951660156,0.4486805449857652,0.5601331380543636,0.8954308078393645,-0.55244955666267,None,0.4416071697859584,0.561084777926357,0.9039958199302126,-1.7430256733964962,Saccades
0.06472396850585938,0.4502337599541375,0.560003441200329,0.8936308836167192,-1.1115178690721539,Saccades,0.4438767746474658,0.5610145529835453,0.9014420606645744,-1.5770380893555986,Saccades
0.0684974193572998,0.4503673789724852,0.560968064737784,0.8943263154788534,0.18429599046422232,None,0.4449306920096029,0.5610178271505364,0.9002906144697623,-0.3051440816759473,None
0.07579660415649414,0.4489862247896957,0.5607197360126999,0.8956092142663652,0.17575918719763853,None,0.44689339747229573,0.5608439003752419,0.8979954987672543,-0.3144345246282016,Smooth Pursuit
0.08134794235229492,0.4490933679039658,0.560190231219929,0.8950317646668179,-0.10401989199362968,None,0.44833810980464356,0.5608439003752419,0.8964218937687831,-0.283464084328617,Smooth Pursuit
0.08319306373596191,0.4498492635842013,0.5608992038328928,0.8948282709821376,-0.11028742416712355,None,0.44883338488773045,0.5608094699227963,0.8958533911384843,-0.3081112361122811,Smooth Pursuit
0.08645200729370117,0.4508126252010125,0.5617604811787034,0.8945330265220681,-0.09059514374476221,None,0.4490397963468308,0.5609336342853384,0.8957370843114625,-0.03568850609443428,None
0.08973193168640137,0.448575455130692,0.5628637925798621,0.897916653953999,1.03161750906865,Saccades,0.4490397963468308,0.5609336342853384,0.8957370843114625,0.0,None
0.09293699264526367,0.4485214096083488,0.5634074928445885,0.8984458872958121,0.16512426709068173,None,0.4490397963468308,0.5609336342853384,0.8957370843114625,0.0,None
0.09632563591003418,0.4486341738071421,0.5602728753394958,0.8956029449945772,-0.8389618142432222,Saccades,0.4490397963468308,0.5608094699227963,0.8956290772068278,-0.03187325905843618,None
0.10031247138977051,0.4488619521179484,0.5581890766227456,0.8935363180243002,-0.5183627417737358,None,0.4490397963468308,0.5608094699227963,0.8956290772068278,0.0,None
0.10440206527709961,0.4485228965225807,0.5597791410695501,0.8952938066621348,0.42974649470203163,None,0.44892408845382203,0.5608094699227963,0.8957548107512726,0.030744750679119363,None
0.10836648941040039,0.447934737666204,0.5576394873460722,0.8940650235404854,-0.3099524875069882,None,0.4487480629625452,0.5604963056760979,0.8956736331776497,-0.020476510810493502,None
0.11231303215026855,0.4482620784540356,0.557545680929084,0.8936261793623841,-0.11119711783889627,None,0.4486048144689171,0.5602315532797124,0.8955988893219048,-0.01893907165627312,None
0.11634349822998047,0.4493766163876819,0.5542445260378233,0.8895098989269921,-1.0212914223771976,Saccades,0.4486048144689171,0.560026008204523,0.8954198403768256,-0.044423880895665284,Smooth Pursuit
0.12049412727355957,0.450198304771693,0.5533029337538573,0.8877837882296032,-0.4158672527141537,None,0.4486048144689171,0.5589841088461478,0.8945110161805147,-0.2189605929050493,Smooth Pursuit
0.12444901466369629,0.4485436358738878,0.552007833979187,0.8884391032698549,0.16569752197899396,None,0.44855954550228994,0.557914281984409,0.893624965633827,-0.22403938703727194,Smooth Pursuit
0.12836313247680664,0.4472220796779285,0.5519734658181196,0.8898523313856178,0.3610591666478027,None,0.44853326619823425,0.5575925841375781,0.8933719041368341,-0.06465352068485516,Smooth Pursuit
0.13242411613464355,0.4463588789697585,0.5525235043381282,0.8912840653621016,0.35255841862865006,None,0.44853326619823425,0.5558951034834536,0.8918823544736367,-0.36679528624125873,Smooth Pursuit
0.1363229751586914,0.4471327265945854,0.5550368941217694,0.8926555238393614,0.35175892967680755,None,0.4483924874883082,0.5546407100797963,0.8909315499110523,-0.2438673870278366,Smooth Pursuit
0.14526104927062988,0.4479012225086111,0.5528188410355074,0.8898586655908185,-0.31291508814042973,None,0.4480984080601198,0.5537737298958403,0.8904874394074536,-0.049687493976529336,Smooth Pursuit
0.1522505283355713,0.4473803957573198,0.5515928526212495,0.8893417606845714,-0.07395471128025345,None,0.4479179800874076,0.5530608873946823,0.8900544707071774,-0.06194577539375369,Smooth Pursuit
0.1546039581298828,0.4455903274515679,0.5513099597503449,0.8910516274667394,0.7265425067282318,Saccades,0.44764080913296544,0.5526711726868179,0.8900124533427191,-0.017853672355071893,None
0.15816044807434082,0.4470252550940684,0.5495432053261936,0.8879085311532344,-0.883763587860769,Saccades,0.44730123771762414,0.5522656691586576,0.8900246234591833,0.0034219459788506056,None
0.16081857681274414,0.4468923672235175,0.5507527206713856,0.8891300060260879,0.4595243470364137,None,0.447177403136257,0.5519906498986533,0.8899164232681339,-0.040705399059939716,None
0.1643075942993164,0.4480820043392242,0.5490245932614795,0.8862899369174606,-0.8140025435692254,Saccades,0.447177403136257,0.5517831592196845,0.8897325252697064,-0.05270767462051879,Smooth Pursuit
