index,timestamp,label,duration,ObjectSpeed,id,objectType,segmentLocation
561,106850.15695574581,Looking At,0.0,,4,Obstacle,3
562,106850.17177203,Looking At,0.0,,4,Obstacle,3
564,106850.20220568478,Looking At,0.0,,4,Obstacle,3
564,106850.21188738644,Looking At,0.0,,4,Obstacle,3
565,106850.22349169552,Looking At,0.0,,4,Obstacle,3
566,106850.24383166134,Looking At,0.0,,4,Obstacle,3
567,106850.26015093624,Looking At,0.0,,4,Obstacle,3
568,106850.27003863156,Looking At,0.0,,4,Obstacle,3
569,106850.28453448116,Looking At,0.0,,4,Obstacle,3
584,106850.50585558712,Intercepted,0.0,,4,Obstacle,
593,106850.63844683468,Looking At,0.0,,5,Obstacle,4
596,106850.68481829464,Looking At,0.0,,5,Obstacle,4
596,106850.6968651086,Looking At,0.0,,5,Obstacle,4
600,106850.74578478634,Looking At,0.0,,5,Obstacle,4
601,106850.75298693478,Looking At,0.0,,5,Obstacle,4
601,106850.76568987667,Looking At,0.0,,5,Obstacle,4
602,106850.78020098507,Looking At,0.0,,5,Obstacle,4
603,106850.79321673214,Looking At,0.0,,5,Obstacle,4
604,106850.8052788049,Looking At,0.0,,5,Obstacle,4
605,106850.82078173458,Looking At,0.0,,5,Obstacle,4
607,106850.83633807003,Looking At,0.0,,5,Obstacle,4
610,106850.88002398312,Spawning,0.0,16.0,6,Obstacle,
614,106850.94549944699,Looking At,0.0,,6,Obstacle,5
615,106850.95338824093,Looking At,0.0,,6,Obstacle,5
615,106850.96474078,Looking At,0.0,,6,Obstacle,5
616,106850.97510912716,Looking At,0.0,,6,Obstacle,5
616,106850.98692705929,Looking At,0.0,,6,Obstacle,5
617,106851.00388720333,Looking At,0.0,,6,Obstacle,5
618,106851.02176287472,Looking At,0.0,,6,Obstacle,5
620,106851.03674700558,Looking At,0.0,,6,Obstacle,5
621,106851.0563850671,Looking At,0.0,,6,Obstacle,5
622,106851.06651690304,Looking At,0.0,,6,Obstacle,5
623,106851.08192828,Looking At,0.0,,6,Obstacle,5
624,106851.09672167599,Looking At,0.0,,6,Obstacle,5
625,106851.10635760128,Looking At,0.0,,6,Obstacle,5
626,106851.1218147546,Looking At,0.0,,6,Obstacle,5
628,106851.15176012814,Looking At,0.0,,6,Obstacle,5
628,106851.16347887814,Looking At,0.0,,5,Obstacle,4
629,106851.17206194699,Looking At,0.0,,5,Obstacle,4
631,106851.19132616818,Looking At,0.0,,5,Obstacle,4
631,106851.20238879025,Looking At,0.0,,6,Obstacle,5
632,106851.21284106075,Looking At,0.0,,6,Obstacle,5
632,106851.21979143917,Looking At,0.0,,6,Obstacle,5
634,106851.23977282345,Looking At,0.0,,6,Obstacle,5
634,106851.25111010372,Looking At,0.0,,6,Obstacle,5
636,106851.26741411984,Looking At,0.0,,6,Obstacle,5
637,106851.28845598995,Looking At,0.0,,6,Obstacle,5
