id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,107588.48131450001,236.50899999483954,6,19,0.5484706528434927,0.5403015052596428,1.496647619637787,0.8743540902932485,3d gaze,49.376773101937005,-31.11350832640631,655.7097835488975,107588.48131450001 107588.485284 107588.4879715 107588.49184999999 107588.49572949999 107588.4997165 107588.50371399999 107588.5077875 107588.5118495 107588.51581449999 107588.51977799999 107588.5237745 107588.52777 107588.531732 107588.535695 107588.53973 107588.543764 107588.5478135 107588.551876 107588.5558875 107588.55988700001 107588.56436650001 107588.5688415 107588.57238299999 107588.575921 107588.579861 107588.5838015 107588.5879415 107588.592081 107588.5966245 107588.6011685 107588.6045015 107588.6078345 107588.6117745 107588.6157125 107588.6203505 107588.624984 107588.628452 107588.63191550001 107588.636661 107588.641282 107588.6451795 107588.648922 107588.6523505 107588.65574650001 107588.65974249999 107588.663738 107588.66791 107588.672082 107588.6778665 107588.682496 107588.685708 107588.689824 107588.6937785 107588.69774 107588.7017975 107588.70573300001 107588.7097825 107588.71390500001 107588.7178235
1,107588.830016,202.02399998379406,26,37,0.5097231356563339,0.6248908893782694,1.4025011739536646,0.8850395393137839,3d gaze,12.719431152854765,-111.15676637677393,772.6466314307896,107588.830016 107588.83401300001 107588.8380045 107588.8419235 107588.845928 107588.851235 107588.8556175 107588.8591455 107588.8630955 107588.866371 107588.87005900001 107588.873794 107588.8778315 107588.881775 107588.88590200001 107588.88996100001 107588.89374150001 107588.89767050001 107588.9017675 107588.905821 107588.90992050001 107588.91390449999 107588.919862 107588.923924 107588.9278305 107588.93169649999 107588.93664649999 107588.941594 107588.9455045 107588.94928599999 107588.95256149999 107588.9557025 107588.9597295 107588.96375200001 107588.9678845 107588.972014 107588.976016 107588.97999600001 107588.98397649999 107588.988014 107588.9919275 107588.99576300001 107588.999966 107589.0041665 107589.008016 107589.01186299999 107589.0159305 107589.01999649999 107589.02399049999 107589.0279825 107589.03203999999
2,107589.345764,238.105500000529,56,71,0.5187264659460442,0.5386903743764148,1.4132082123592165,0.9471330200632413,3d gaze,38.87279705016557,-59.304225290924514,1311.2771528712744,107589.345764 107589.349769 107589.35383949999 107589.357846 107589.3617695 107589.365936 107589.3721695 107589.3763 107589.378978 107589.3827635 107589.388559 107589.3932065 107589.3974975 107589.40169249999 107589.40493749999 107589.40808749999 107589.41189650001 107589.415701 107589.419708 107589.423714 107589.42767599999 107589.4316525 107589.4358875 107589.440106 107589.4439515 107589.4477915 107589.452313 107589.456834 107589.460957 107589.4650755 107589.4688835 107589.4726835 107589.47621749999 107589.47974350001 107589.483726 107589.48769149999 107589.491681 107589.4956635 107589.499753 107589.5038565 107589.5082055 107589.51225500001 107589.519528 107589.526525 107589.5296255 107589.532726 107589.53469100001 107589.5365595 107589.540238 107589.5438395 107589.54913649999 107589.5544115 107589.5586075 107589.5628005 107589.5662365 107589.5695635 107589.5727055 107589.575737 107589.579805 107589.5838695
3,107589.718116,297.66849998850375,81,99,0.5504614386085538,0.6656070546886413,1.3884860142891307,0.9188464625676473,3d gaze,53.9470752590146,-132.73034589465485,693.2307640319692,107589.718116 107589.72174149999 107589.725748 107589.731662 107589.73563899999 107589.739569 107589.7435995 107589.74573950001 107589.7496945 107589.753839 107589.7581775 107589.7620925 107589.765824 107589.7701245 107589.7740915 107589.777718 107589.7817635 107589.7859205 107589.789857 107589.7938625 107589.7978195 107589.8016875 107589.80589049999 107589.8099285 107589.81375500001 107589.819784 107589.82389500001 107589.8279345 107589.8319925 107589.8341125 107589.838165 107589.84194849999 107589.845974 107589.850044 107589.85583 107589.85977 107589.8638605 107589.867931 107589.87222800001 107589.876506 107589.8801515 107589.8837945 107589.887966 107589.8921355 107589.896076 107589.900127 107589.9040255 107589.9078115 107589.91178 107589.91574550001 107589.919723 107589.9236975 107589.927693 107589.931685 107589.936067 107589.9404485 107589.944091 107589.9477225 107589.95171200001 107589.95569249999 107589.96014099999 107589.964589 107589.9682305 107589.9718725 107589.9757545 107589.97963 107589.98371900001 107589.98780249999 107589.991756 107589.9957095 107589.999796 107590.003898 107590.0078845 107590.01181550001 107590.01578449999
4,107590.1499935,201.9365000014659,107,119,0.5231954817499834,0.783194971901871,1.4835725732812455,0.950370041178722,3d gaze,46.019147736709535,-435.4147842129273,1329.21638902612,107590.1499935 107590.1542795 107590.15836249999 107590.163653 107590.167395 107590.1697965 107590.17386499999 107590.17786699999 107590.181807 107590.18609 107590.190161 107590.1939865 107590.197877 107590.201839 107590.2060535 107590.2100665 107590.2138645 107590.2179235 107590.223596 107590.227432 107590.229723 107590.23380650001 107590.237926 107590.241924 107590.245807 107590.2497475 107590.25388100001 107590.25788250001 107590.26175599999 107590.26583250001 107590.269817 107590.273739 107590.2777455 107590.28173399999 107590.2857365 107590.2897545 107590.2936985 107590.29777050001 107590.3022575 107590.306375 107590.30996750001 107590.314035 107590.3185045 107590.32420850001 107590.327659 107590.33173850001 107590.3357865 107590.33980700001 107590.3438235 107590.3478775 107590.35193
5,107590.678109,297.6639999978943,139,161,0.5564600909316602,0.4787746427555579,1.45968676536836,0.9097141130765279,3d gaze,67.59359495412271,18.163704006491344,768.0094264822054,107590.678109 107590.681864 107590.6857495 107590.6898115 107590.6937995 107590.6977275 107590.70171950001 107590.705744 107590.710076 107590.71410350001 107590.7178145 107590.721778 107590.72574600001 107590.729765 107590.733811 107590.737784 107590.7418735 107590.74600099999 107590.7498515 107590.7536655 107590.757649 107590.7618945 107590.765952 107590.7698865 107590.7738815 107590.7778015 107590.78176849999 107590.7858135 107590.79187350001 107590.7958235 107590.799829 107590.80385950001 107590.808258 107590.812642 107590.81648000001 107590.820039 107590.82407249999 107590.82784099999 107590.831767 107590.83569 107590.8398135 107590.843953 107590.84784 107590.8517155 107590.8557515 107590.85978550001 107590.8640665 107590.8683435 107590.87205549999 107590.87576550001 107590.87976 107590.8837535 107590.88775950001 107590.89176550001 107590.89574400001 107590.899722 107590.90371 107590.907698 107590.9116715 107590.9156485 107590.91984650001 107590.92404400001 107590.92787350001 107590.9317015 107590.9356705 107590.9396515 107590.943713 107590.947762 107590.95212 107590.956479 107590.9603865 107590.96429 107590.96799800001 107590.97169800001 107590.975773
6,107592.2881585,270.61849999881815,253,272,0.562730548995744,0.4684379694927749,1.4885684274519138,0.9155529023093336,3d gaze,72.57550072526362,27.16597429572074,750.0750156040099,107592.2881585 107592.291919 107592.29567749999 107592.30019099999 107592.3047045 107592.308235 107592.3117645 107592.316055 107592.32024249999 107592.32478550001 107592.329226 107592.33248099999 107592.33574 107592.34031649999 107592.34486350001 107592.348396 107592.3519025 107592.35584850001 107592.359794 107592.363786 107592.367778 107592.371832 107592.3758955 107592.379844 107592.3837835 107592.387744 107592.3918675 107592.39597849999 107592.399926 107592.4038495 107592.40777749999 107592.41182099999 107592.4158585 107592.41979399999 107592.4261115 107592.43027750001 107592.4339555 107592.437865 107592.441813 107592.4457465 107592.4497615 107592.453797 107592.4581985 107592.4627535 107592.46648999999 107592.470031 107592.47394550001 107592.477839 107592.48179600001 107592.4857325 107592.4897035 107592.4939135 107592.49802300001 107592.501871 107592.5057555 107592.5097265 107592.51435499999 107592.518407 107592.521871 107592.525827 107592.5298225 107592.53378550001 107592.5383675 107592.54242700001 107592.54586049999 107592.54980149999 107592.5547965 107592.558777
7,107592.6177565,226.2475000025006,276,291,0.4868258826452103,0.5439350362387978,1.4768422852518803,0.9638614178749553,3d gaze,-25.31182401220299,-63.49787684526899,1233.6265084868749,107592.6177565 107592.6219885 107592.6261245 107592.630263 107592.63407 107592.63779400001 107592.64194249999 107592.6459485 107592.649813 107592.65395800001 107592.65794800001 107592.663781 107592.6678665 107592.67182700001 107592.67583 107592.679777 107592.683658 107592.6877095 107592.6917615 107592.69574550001 107592.6997165 107592.703885 107592.7078945 107592.71192 107592.7157655 107592.7198835 107592.723973 107592.72850550001 107592.733037 107592.7363545 107592.739661 107592.74378300001 107592.747896 107592.75196349999 107592.7560145 107592.76004200001 107592.764054 107592.76815799999 107592.772207 107592.7760535 107592.7798355 107592.7837925 107592.7877595 107592.7918415 107592.7958905 107592.79984749999 107592.80379199999 107592.807753 107592.8117125 107592.8169985 107592.82228349999 107592.825224 107592.828169 107592.83210599999 107592.836033 107592.840021 107592.844004
8,107592.962416,299.11100000026636,301,321,0.5149752059678085,0.4088119312660737,1.4403055869251633,0.9851056031386057,3d gaze,22.774899230254267,102.06241789455879,966.242617723526,107592.962416 107592.965998 107592.969905 107592.9739385 107592.9779115 107592.98172750001 107592.985666 107592.989735 107592.99374199999 107592.997787 107593.0018495 107593.00605600001 107593.00999600001 107593.0137705 107593.0178 107593.0223785 107593.0263865 107593.02977250001 107593.0338035 107593.03779450001 107593.0429195 107593.0470075 107593.0498255 107593.05380950001 107593.0578135 107593.0617605 107593.06573900001 107593.0696725 107593.0738935 107593.07796299999 107593.081911 107593.0862585 107593.09112200001 107593.0947305 107593.09791899999 107593.1019355 107593.1057845 107593.109833 107593.1137845 107593.11777900001 107593.121899 107593.12588 107593.132015 107593.1362495 107593.1400195 107593.1438035 107593.147749 107593.151679 107593.15572400001 107593.1597695 107593.1638675 107593.16794099999 107593.17181649999 107593.1756605 107593.1796945 107593.1837175 107593.188173 107593.19261900001 107593.1963705 107593.2000925 107593.2057 107593.211289 107593.2152755 107593.219257 107593.22149600001 107593.2237455 107593.227809 107593.23186249999 107593.235802 107593.2397415 107593.243724 107593.24770549999 107593.25229599999 107593.256888 107593.261527
9,107594.882897,236.75699999148492,423,438,0.5040954129110492,0.23773957165863543,1.0804775364482044,0.7229240536689758,3d gaze,2.9197745545135803,140.24093150764634,463.12935865700564,107594.882897 107594.945897 107595.119654
