key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.02.2024
Export Time,16:22:53
Frame Index Range:,0 - 3262
Relative Time Range,00:00.000 - 00:52.156
Absolute Time Range,1279.6969717276916 - 1331.8532217276916
