# timestamps [seconds],pts
1279.696972,0
1279.705677,570
1279.744701,3127
1279.760326,4151
1279.783954,5700
1279.784679,5747
1279.801578,6855
1279.819637,8038
1279.829731,8700
1279.846813,9819
1279.865146,11021
1279.892773,12831
1279.936436,15693
1279.947750,16434
1279.977772,18402
1279.987263,19024
1279.987911,19066
1280.006092,20258
1280.025707,21543
1280.070438,24475
1280.092785,25939
1280.166653,30780
1280.189091,32251
1280.250706,36288
1280.251400,36334
1280.293384,39085
1280.322285,40979
1280.338756,42059
1280.339298,42094
1280.382793,44945
1280.405399,46426
1280.427715,47889
1280.455173,49688
1280.473133,50865
1280.473903,50916
1280.508900,53209
1280.535892,54978
1280.543949,55506
1280.544529,55544
1280.572651,57387
1280.582851,58056
1280.593838,58776
1280.613308,60052
1280.623272,60705
1280.639339,61758
1280.659603,63086
1280.668476,63667
1280.679546,64393
1280.710148,66398
1280.718227,66927
1280.740192,68367
1280.756946,69465
1280.785152,71313
1280.796047,72027
1280.797466,72120
1280.824444,73888
1280.825924,73985
1280.837169,74722
1280.863720,76462
1280.885715,77904
1280.897312,78664
1280.914188,79770
1280.925075,80483
1280.926235,80559
1280.965938,83161
1280.971332,83515
1280.980633,84124
1281.000088,85399
1281.008587,85956
1281.030994,87425
1281.043644,88254
1281.053226,88882
1281.065075,89658
1281.087055,91099
1281.097957,91813
1281.099003,91882
1281.118267,93144
1281.127399,93743
1281.138630,94479
1281.157978,95747
1281.168453,96433
1281.176998,96993
1281.201717,98613
1281.220760,99861
1281.242969,101316
1281.258625,102342
1281.284565,104042
1281.293445,104624
1281.294109,104668
1281.324161,106637
1281.324879,106684
1281.343593,107911
1281.370838,109696
1281.388355,110844
1281.399906,111601
1281.416546,112692
1281.426327,113333
1281.444103,114498
1281.471172,116272
1281.487102,117316
1281.496532,117934
1281.517460,119305
1281.526386,119890
1281.534885,120447
1281.559452,122057
1281.578022,123274
1281.589123,124002
1281.609249,125321
1281.618580,125932
1281.628361,126573
1281.648456,127890
1281.658817,128569
1281.668194,129184
1281.693119,130817
1281.711963,132052
1281.723263,132792
1281.750316,134565
1281.773548,136088
1281.782276,136660
1281.782932,136703
1281.812740,138656
1281.813694,138719
1281.835308,140135
1281.860432,141782
1281.861637,141861
1281.880413,143091
1281.898128,144252
1281.907375,144858
1281.908573,144937
1281.948940,147582
1281.954716,147961
1281.981762,149733
1281.991062,150343
1282.014301,151866
1282.039677,153529
1282.040340,153572
1282.058468,154760
1282.078106,156047
1282.087604,156670
1282.088978,156760
1282.110348,158160
1282.119228,158742
1282.136837,159896
1282.156620,161193
1282.165623,161783
1282.167797,161925
1282.189930,163376
1282.199383,163995
1282.209339,164647
1282.238598,166565
1282.252552,167479
1282.261310,168053
1282.270580,168661
1282.298801,170510
1282.321445,171994
1282.331074,172625
1282.340893,173269
1282.371250,175258
1282.390110,176494
1282.400905,177202
1282.402271,177291
1282.429943,179105
1282.444584,180064
1282.452984,180615
1282.480686,182430
1282.481518,182485
1282.492405,183198
1282.513759,184598
1282.521335,185094
1282.539310,186272
1282.564297,187910
1282.564937,187952
1282.583065,189140
1282.603878,190504
1282.613727,191149
1282.614605,191207
1282.631428,192309
1282.657078,193990
1282.667736,194689
1282.687160,195962
1282.705372,197155
1282.716099,197858
1282.717586,197955
1282.744488,199718
1282.762241,200882
1282.778545,201950
1282.789348,202658
1282.800075,203361
1282.826984,205125
1282.845753,206355
1282.846897,206430
1282.857372,207116
1282.884785,208913
1282.885532,208962
1282.907139,210378
1282.925876,211606
1282.935757,212253
1282.936962,212332
1282.955448,213544
1282.963833,214093
1282.985889,215539
1283.013141,217325
1283.027622,218274
1283.039295,219039
1283.046856,219534
1283.054470,220033
1283.077602,221549
1283.097584,222859
1283.119129,224271
1283.134678,225290
1283.163395,227172
1283.171505,227703
1283.172764,227786
1283.197346,229396
1283.207462,230059
1283.236751,231979
1283.247043,232653
1283.255596,233214
1283.284450,235105
1283.293125,235673
1283.305965,236515
1283.318119,237311
1283.348057,239273
1283.368061,240584
1283.377521,241204
1283.399349,242635
1283.420093,243994
1283.429859,244634
1283.449573,245926
1283.457989,246478
1283.477344,247746
1283.497112,249042
1283.506611,249664
1283.519291,250495
1283.536945,251652
1283.568050,253691
1283.577305,254297
1283.600422,255812
1283.619373,257054
1283.629261,257702
1283.630878,257808
1283.651157,259137
1283.660511,259750
1283.669636,260348
1283.696178,262088
1283.697254,262158
1283.729244,264254
1283.738605,264868
1283.747166,265429
1283.771229,267006
1283.771938,267052
1283.790722,268283
1283.811069,269617
1283.820995,270267
1283.830028,270859
1283.846966,271969
1283.871425,273572
1283.879963,274132
1283.901745,275559
1283.929401,277372
1283.939182,278013
1283.958057,279250
1283.976658,280469
1283.986767,281131
1283.988155,281222
1284.007824,282511
1284.018184,283190
1284.026707,283749
1284.054500,285570
1284.077213,287059
1284.085811,287622
1284.115269,289553
1284.116230,289616
1284.125759,290240
1284.154316,292112
1284.155346,292179
1284.167988,293008
1284.187191,294266
1284.196438,294872
1284.214496,296055
1284.234821,297387
1284.248791,298303
1284.266567,299468
1284.291935,301130
1284.301861,301781
1284.313587,302549
1284.338001,304149
1284.359226,305540
1284.371212,306326
1284.387485,307392
1284.397343,308038
1284.398067,308086
1284.426136,309925
1284.426822,309970
1284.449673,311468
1284.477451,313288
1284.492817,314295
1284.493702,314353
1284.515796,315801
1284.524372,316363
1284.534916,317054
1284.560200,318711
1284.571537,319454
1284.594318,320947
1284.610691,322020
1284.620586,322669
1284.630810,323339
1284.647755,324449
1284.673321,326125
1284.673939,326165
1284.683590,326798
1284.711552,328630
1284.712444,328688
1284.723591,329419
1284.752704,331327
1284.761593,331909
1284.783809,333365
1284.802288,334576
1284.811916,335207
1284.812992,335278
1284.843410,337271
1284.862369,338514
1284.873669,339254
1284.892933,340517
1284.901813,341099
1284.903759,341226
1284.920528,342325
1284.963070,345113
1284.977032,346028
1284.996334,347293
1285.021534,348945
1285.035198,349840
1285.054592,351111
1285.072880,352310
1285.083080,352978
1285.085064,353108
1285.103313,354304
1285.112179,354885
1285.130276,356071
1285.168949,358606
1285.174473,358968
1285.194263,360265
1285.195629,360354
1285.223682,362192
1285.249729,363899
1285.258091,364447
1285.275677,365600
1285.294338,366823
1285.304645,367498
1285.316143,368252
1285.337612,369659
1285.347606,370314
1285.356510,370897
1285.383045,372636
1285.391002,373158
1285.409504,374370
1285.436008,376107
1285.458828,377603
1285.467480,378170
1285.468349,378227
1285.506359,380718
1285.514858,381275
1285.541141,382997
1285.541805,383041
1285.552349,383732
1285.572223,385034
1285.579578,385516
1285.600040,386857
1285.628963,388753
1285.653683,390373
1285.654438,390422
1285.669086,391382
1285.688167,392633
1285.700413,393435
1285.710758,394113
1285.731380,395464
1285.742885,396218
1285.753376,396906
1285.771732,398109
1285.780231,398666
1285.800884,400019
1285.824680,401579
1285.841587,402687
1285.851200,403317
1285.882099,405342
1285.882717,405382
1285.900028,406517
1285.919864,407817
1285.929310,408436
1285.948231,409676
1285.969578,411075
1285.980015,411759
1285.982082,411894
1286.001667,413178
1286.013813,413974
1286.023304,414596
1286.050419,416373
1286.068592,417564
1286.079723,418293
1286.097004,419426
1286.122074,421069
1286.131008,421654
1286.140201,422257
1286.168964,424142
1286.179890,424858
1286.195934,425909
1286.225208,427827
1286.236614,428575
1286.262127,430247
1286.263065,430308
