key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.02.2024
Export Time,16:40:45
Frame Index Range:,0 - 1183
Relative Time Range,00:00.000 - 00:17.072
Absolute Time Range,3804.235782815552 - 3821.3087656036378
