key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.02.2024
Export Time,17:20:31
Frame Index Range:,0 - 4854
Relative Time Range,00:00.000 - 00:56.030
Absolute Time Range,4604.510539633515 - 4660.540702444794
