index,timestamp,label,duration
342,4608.493228537323,Recording started,0.0
687,4612.4954200809025,Experiment Started,0.0
687,4612.499917608979,Object Spawned,0.0
948,4615.548135382416,Intercepted,0.0
1028,4616.504787070038,Object Spawned,0.0
1285,4619.4219337527775,Intercepted,0.0
1381,4620.503987890961,Object Spawned,0.0
1633,4623.439105612519,Intercepted,0.0
1725,4624.510272604706,Object Spawned,0.0
1982,4627.43847618747,Intercepted,0.0
2075,4628.515502554657,Object Spawned,0.0
2338,4631.511855704071,Intercepted,0.0
2425,4632.5187908237,Object Spawned,0.0
2677,4635.445811850312,Intercepted,0.0
2770,4636.52449761081,Object Spawned,0.0
3032,4639.552936178925,Intercepted,0.0
3116,4640.536681753876,Object Spawned,0.0
3370,4643.465350729706,Intercepted,0.0
3460,4644.532760245087,Object Spawned,0.0
3729,4647.616618735077,Intercepted,0.0
3810,4648.531303030732,Object Spawned,0.0
4064,4651.4430805270695,Intercepted,0.0
4161,4652.538047415497,Experiment Ended,0.0
4507,4656.539558035614,Recording Ended,0.0
