key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,18.03.2024
Export Time,19:29:03
Frame Index Range:,0 - 2418
Relative Time Range,00:00.000 - 00:35.586
Absolute Time Range,28218.828150960053 - 28254.414157124604
