# timestamps [seconds],pts
28218.828151,0
28218.828895,48
28218.836795,566
28218.890094,4059
28218.913688,5605
28218.931937,6801
28218.935638,7044
28218.949725,7967
28218.958339,8531
28218.977863,9811
28219.001121,11335
28219.018798,12494
28219.027190,13044
28219.063888,15449
28219.072143,15990
28219.114288,18751
28219.129497,19748
28219.137691,20285
28219.165595,22114
28219.175922,22791
28219.186637,23493
28219.204368,24655
28219.214351,25309
28219.254443,27937
28219.265262,28646
28219.284579,29912
28219.296451,30690
28219.303310,31139
28219.330108,32895
28219.351276,34282
28219.361079,34925
28219.391807,36939
28219.421046,38855
28219.429435,39405
28219.447204,40569
28219.463840,41659
28219.480346,42741
28219.492297,43524
28219.515895,45071
28219.526798,45785
28219.537837,46509
28219.557964,47828
28219.567573,48458
28219.568118,48493
28219.586967,49728
28219.595069,50259
28219.615310,51586
28219.642448,53364
28219.661517,54614
28219.673755,55416
28219.693790,56729
28219.720935,58508
28219.730121,59110
28219.748943,60344
28219.761661,61177
28219.783786,62627
28219.797103,63500
28219.821891,65124
28219.832214,65801
28219.833133,65861
28219.864619,67924
28219.865394,67975
28219.884948,69257
28219.910598,70938
28219.926955,72010
28219.927802,72065
28219.946864,73314
28219.954734,73830
28219.971755,74946
28219.988425,76038
28219.998256,76682
28220.017482,77942
28220.038482,79319
28220.049125,80016
28220.059287,80682
28220.078376,81933
28220.087020,82499
28220.095576,83060
28220.120639,84703
28220.121143,84736
28220.140475,86003
28220.156062,87024
28220.181411,88685
28220.190646,89291
28220.191871,89371
28220.218047,91086
28220.218765,91133
28220.242248,92672
28220.255630,93549
28220.264335,94120
28220.274852,94809
28220.292091,95939
28220.303050,96657
28220.303909,96713
28220.321456,97863
28220.346412,99499
28220.355838,100116
28220.374324,101328
28220.390006,102356
28220.398605,102919
28220.408496,103567
28220.426398,104741
28220.436977,105434
28220.437621,105476
28220.456210,106694
28220.464629,107246
28220.488013,108779
28220.512099,110357
28220.530170,111541
28220.530967,111594
28220.550327,112862
28220.558280,113384
28220.575507,114513
28220.593284,115677
28220.600932,116179
28220.601730,116231
28220.629207,118032
28220.640479,118770
28220.653545,119627
28220.664207,120325
28220.672588,120875
28220.690471,122047
28220.710754,123376
28220.733051,124837
28220.751258,126030
28220.791946,128697
28220.802356,129379
28220.838744,131764
28220.839862,131837
28220.848422,132398
28220.873969,134072
28220.882961,134661
28220.899364,135736
28220.922832,137274
28220.933322,137962
28220.944564,138699
28220.962020,139843
28220.972358,140520
28220.973216,140576
28220.998569,142238
28220.999183,142278
28221.009799,142974
28221.026012,144036
28221.051105,145681
28221.059905,146258
28221.078269,147461
28221.101684,148995
28221.111839,149661
28221.123100,150399
28221.139274,151459
28221.148723,152078
28221.158893,152745
28221.175025,153802
28221.184676,154434
28221.185485,154487
28221.213729,156338
28221.228904,157333
28221.237895,157922
28221.264541,159668
28221.272224,160172
28221.290687,161382
28221.313640,162886
28221.324390,163591
28221.335174,164297
28221.351356,165358
28221.360549,165960
28221.370113,166587
28221.383151,167441
28221.402049,168680
28221.413299,169417
28221.427135,170324
28221.437350,170993
28221.446586,171599
28221.462482,172640
28221.487609,174287
28221.495429,174800
28221.496558,174874
28221.525062,176742
28221.546916,178174
28221.558990,178965
28221.574157,179959
28221.584239,180620
28221.594066,181264
28221.611892,182432
28221.621204,183042
28221.630809,183672
28221.666736,186026
28221.672828,186425
28221.681022,186962
28221.698470,188106
28221.707847,188720
28221.727142,189985
28221.744556,191126
28221.754497,191778
28221.773627,193031
28221.792155,194246
28221.802112,194898
28221.802806,194944
28221.818786,195991
28221.828925,196655
28221.848979,197969
28221.867156,199161
28221.876701,199786
28221.893592,200893
28221.909003,201903
28221.934184,203553
28221.941726,204048
28221.960372,205270
28221.975196,206241
28221.985603,206923
28222.005408,208221
28222.021732,209291
28222.038676,210401
28222.049716,211125
28222.065383,212152
28222.084022,213373
28222.095096,214099
28222.121673,215840
28222.138366,216934
28222.148257,217583
28222.167358,218834
28222.176570,219438
28222.184402,219951
28222.209586,221602
28222.210288,221648
28222.229766,222924
28222.248672,224163
28222.258598,224814
28222.259925,224901
28222.274493,225856
28222.284774,226529
28222.307742,228035
28222.323337,229057
28222.350093,230810
28222.358684,231373
28222.359271,231411
28222.377475,232604
28222.386104,233170
28222.407188,234552
28222.423579,235626
28222.433795,236295
28222.443317,236919
28222.462833,238198
28222.472118,238807
28222.472995,238864
28222.490272,239997
28222.524730,242255
28222.533923,242857
28222.552528,244077
28222.569225,245171
28222.578761,245796
28222.579383,245836
28222.605605,247555
28222.606193,247593
28222.616092,248242
28222.641433,249903
28222.650447,250494
28222.659202,251067
28222.684318,252713
28222.693626,253323
28222.709781,254382
28222.732501,255871
28222.733344,255926
28222.753867,257271
28222.770759,258378
28222.794158,259912
28222.794692,259947
28222.804755,260606
28222.822890,261795
28222.832305,262412
28222.855106,263906
28222.867690,264731
28222.876571,265313
28222.887740,266045
28222.905242,267192
28222.914085,267771
28222.915298,267851
28222.944877,269789
28222.958564,270686
28222.966453,271203
28222.977123,271902
28223.000362,273425
28223.011581,274161
28223.026054,275109
28223.047889,276540
28223.056239,277087
28223.057010,277138
28223.076614,278423
28223.087497,279136
28223.097285,279777
28223.114516,280906
28223.124446,281557
28223.133884,282176
28223.164256,284166
28223.191310,285939
28223.192016,285985
28223.201553,286610
28223.231715,288587
28223.232311,288626
28223.244441,289421
28223.282741,291931
28223.292606,292578
28223.318759,294292
28223.319568,294345
28223.330848,295084
28223.348922,296268
28223.358421,296891
28223.368247,297535
28223.390941,299022
28223.401584,299719
28223.414886,300591
28223.441676,302347
28223.467368,304031
28223.467906,304066
28223.479507,304826
28223.497958,306035
28223.506713,306609
28223.525100,307814
28223.546561,309221
28223.558376,309995
28223.568309,310646
28223.586944,311867
28223.595714,312442
28223.613990,313639
28223.631519,314788
28223.641380,315434
28223.658611,316564
28223.672736,317489
28223.705135,319613
28223.705512,319637
28223.725871,320972
28223.749458,322517
28223.758899,323136
28223.769962,323861
28223.798248,325715
28223.798831,325753
28223.821670,327250
28223.822246,327288
28223.841384,328542
28223.851783,329223
28223.871352,330506
28223.889171,331673
28223.902580,332552
28223.911369,333128
28223.928779,334269
28223.951781,335777
28223.960178,336327
28223.982555,337793
28224.007869,339452
28224.008445,339490
28224.026805,340693
28224.044986,341885
28224.054347,342498
28224.071559,343626
28224.090186,344847
28224.098399,345385
28224.116359,346562
28224.127624,347300
28224.139350,348069
28224.161430,349516
28224.176955,350533
28224.202689,352220
28224.210983,352763
28224.212127,352838
28224.238860,354590
28224.239291,354619
28224.262866,356164
28224.284274,357567
28224.295455,358299
28224.306632,359032
28224.329242,360513
28224.340530,361253
28224.351928,362000
28224.378844,363764
28224.395892,364881
28224.396472,364919
28224.414531,366103
28224.423164,366669
28224.440360,367796
28224.457351,368909
28224.468036,369609
28224.476352,370154
28224.494571,371348
28224.503215,371915
28224.504222,371981
28224.525142,373352
28224.534034,373935
28224.543655,374565
28224.567908,376155
28224.568374,376185
28224.585822,377328
28224.601028,378325
28224.628223,380107
28224.636516,380651
28224.637401,380709
28224.666202,382596
28224.667037,382651
28224.676273,383256
28224.703052,385011
28224.703914,385068
28224.729945,386774
28224.730609,386817
28224.748786,388008
28224.759143,388687
28224.779742,390037
28224.803508,391595
28224.822829,392861
28224.823852,392928
28224.834125,393601
28224.862601,395467
28224.863322,395514
28224.874416,396241
28224.888919,397192
28224.900413,397945
28224.925880,399614
28224.944320,400823
28224.945129,400876
28224.955646,401565
28224.975101,402840
28224.985099,403495
28224.995662,404187
28225.024871,406102
28225.043716,407337
28225.060024,408405
28225.087909,410233
28225.099506,410993
28225.100246,411041
28225.127685,412839
28225.140067,413651
28225.167453,415446
28225.178092,416143
28225.199924,417574
28225.216552,418663
28225.225803,419270
28225.237048,420007
28225.256427,421277
28225.265620,421879
28225.266360,421928
28225.285579,423187
28225.294963,423802
28225.316047,425184
28225.336684,426536
28225.356090,427808
28225.383277,429590
28225.383758,429621
28225.421245,432078
28225.430747,432701
28225.441104,433379
28225.461356,434707
28225.472419,435432
28225.480067,435933
28225.505069,437571
28225.505786,437618
28225.528751,439123
28225.550513,440550
28225.560210,441185
