Object ID,Object Speed,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
1,16.0,4.686614990234375,4.478657484054565,0.20795750617980957,4.478657484054565,0.20795750617980957
2,12.0,5.64923095703125,5.640557050704956,0.008673906326293945,5.576728105545044,0.07250285148620605
3,13.0,6.416107177734375,6.400968074798584,0.015139102935791016,6.400968074798584,0.015139102935791016
4,14.0,7.1842041015625,7.141101121902466,0.04310297966003418,7.141101121902466,0.04310297966003418
5,19.0,7.810760498046875,7.804474115371704,0.0062863826751708984,7.804474115371704,0.0062863826751708984
6,15.0,8.72564697265625,8.692959070205688,0.03268790245056152,8.640635013580322,0.08501195907592773
7,13.0,9.576904296875,9.568825006484985,0.008079290390014648,9.432513952255249,0.14439034461975098
8,17.0,10.246978759765625,10.246658086776733,0.00032067298889160156,10.246658086776733,0.00032067298889160156
9,11.0,11.331451416015625,11.048557996749878,0.28289341926574707,11.048557996749878,0.28289341926574707
10,13.0,12.032684326171875,12.02527403831482,0.007410287857055664,12.02527403831482,0.007410287857055664
11,11.0,12.953155517578125,12.930481910705566,0.022673606872558594,12.930481910705566,0.022673606872558594
12,16.0,13.54644775390625,13.54305100440979,0.003396749496459961,13.54305100440979,0.003396749496459961
13,12.0,14.520477294921875,14.404500007629395,0.11597728729248047,14.404500007629395,0.11597728729248047
14,15.0,15.190887451171875,15.180613994598389,0.010273456573486328,15.168559551239014,0.022327899932861328
15,17.0,15.95941162109375,15.936492919921875,0.022918701171875,15.912580013275146,0.046831607818603516
16,11.0,17.003387451171875,16.976510047912598,0.026877403259277344,16.976510047912598,0.026877403259277344
17,18.0,17.502105712890625,17.500511646270752,0.0015940666198730469,17.500511646270752,0.0015940666198730469
18,13.0,18.47601318359375,18.46979308128357,0.006220102310180664,18.46979308128357,0.006220102310180664
19,18.0,19.07391357421875,19.070857524871826,0.003056049346923828,19.070857524871826,0.003056049346923828
20,15.0,19.986053466796875,19.880988121032715,0.10506534576416016,19.880988121032715,0.10506534576416016
21,10.0,21.139312744140625,21.13329792022705,0.006014823913574219,21.13329792022705,0.006014823913574219
22,12.0,21.747833251953125,21.744518518447876,0.0033147335052490234,21.744518518447876,0.0033147335052490234
23,17.0,22.38525390625,22.382656574249268,0.002597332000732422,22.358843088150024,0.026410818099975586
24,16.0,23.22723388671875,23.224573135375977,0.0026607513427734375,23.224573135375977,0.0026607513427734375
25,10.0,24.353546142578125,24.296658992767334,0.056887149810791016,24.352767944335938,0.0007781982421875
26,13.0,24.93310546875,24.928828477859497,0.00427699089050293,24.808724641799927,0.12438082695007324
27,14.0,25.72576904296875,25.72454309463501,0.0012259483337402344,25.6946964263916,0.031072616577148438
28,14.0,26.577911376953125,26.572608947753906,0.00530242919921875,26.572608947753906,0.00530242919921875
29,11.0,27.52459716796875,27.508633136749268,0.015964031219482422,27.396664142608643,0.12793302536010742
30,19.0,27.9791259765625,27.978628635406494,0.0004973411560058594,27.890856504440308,0.08826947212219238
31,11.0,29.140380859375,29.136481046676636,0.003899812698364258,29.040537118911743,0.09984374046325684
32,11.0,29.89813232421875,29.832623958587646,0.06550836563110352,29.832623958587646,0.06550836563110352
33,10.0,30.881256103515625,30.880510091781616,0.0007460117340087891,30.864570140838623,0.016685962677001953
34,14.0,31.37060546875,31.37007212638855,0.0005333423614501953,31.34661102294922,0.02399444580078125
35,11.0,,,,,
36,19.0,32.85015869140625,32.808666467666626,0.04149222373962402,32.682815074920654,0.1673436164855957
37,18.0,33.69146728515625,33.68969702720642,0.0017702579498291016,33.68969702720642,0.0017702579498291016
38,19.0,,,,,
39,15.0,35.36553955078125,35.22977805137634,0.13576149940490723,35.20468091964722,0.1608586311340332
40,18.0,,,,,
41,13.0,37.063201904296875,36.94212102890015,0.12108087539672852,36.94212102890015,0.12108087539672852
42,16.0,37.745330810546875,37.72542405128479,0.01990675926208496,37.7166850566864,0.028645753860473633
43,15.0,38.623687744140625,38.54485297203064,0.07883477210998535,38.4805121421814,0.14317560195922852
44,11.0,39.674102783203125,39.588618993759155,0.08548378944396973,39.59684610366821,0.07725667953491211
45,15.0,40.242218017578125,40.23692297935486,0.0052950382232666016,40.210795640945435,0.03142237663269043
46,16.0,41.03460693359375,41.030614614486694,0.003992319107055664,41.030614614486694,0.003992319107055664
47,11.0,42.08172607421875,41.9378080368042,0.14391803741455078,41.92054510116577,0.16118097305297852
48,12.0,42.819671630859375,42.74873113632202,0.07094049453735352,42.74873113632202,0.07094049453735352
49,19.0,,,,,
50,18.0,44.2244873046875,44.220685958862305,0.0038013458251953125,44.220685958862305,0.0038013458251953125
1,17.0,,,,,
2,19.0,,,,,
3,10.0,6.65191650390625,6.648015022277832,0.0039014816284179688,6.648015022277832,0.0039014816284179688
4,10.0,7.44366455078125,7.429937839508057,0.01372671127319336,7.429937839508057,0.01372671127319336
5,16.0,7.9195556640625,7.912030935287476,0.007524728775024414,7.907869338989258,0.011686325073242188
6,15.0,8.716278076171875,8.71238088607788,0.0038971900939941406,8.694002866744995,0.022275209426879883
7,13.0,9.68426513671875,9.67560601234436,0.008659124374389648,9.645959854125977,0.03830528259277344
8,18.0,10.24169921875,10.22425389289856,0.01744532585144043,10.240195512771606,0.0015037059783935547
9,17.0,11.045074462890625,11.041858911514282,0.0032155513763427734,11.041858911514282,0.0032155513763427734
10,19.0,11.8433837890625,11.769792795181274,0.07359099388122559,11.769792795181274,0.07359099388122559
11,17.0,12.735992431640625,12.73375391960144,0.0022385120391845703,12.73375391960144,0.0022385120391845703
