key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.02.2024
Export Time,17:05:38
Frame Index Range:,0 - 2808
Relative Time Range,00:00.000 - 00:42.185
Absolute Time Range,1216.4331808100892 - 1258.6183004389954
