# timestamps [seconds],pts
1216.433181,0
1216.467208,2229
1216.477370,2895
1216.502166,4520
1216.519347,5646
1216.539001,6934
1216.547973,7522
1216.548949,7586
1216.582244,9768
1216.612304,11738
1216.630950,12960
1216.654372,14495
1216.666228,15272
1216.701110,17558
1216.716308,18554
1216.744140,20378
1216.774184,22347
1216.819335,25306
1216.857360,27798
1216.868865,28552
1216.876449,29049
1216.905761,30970
1216.934875,32878
1216.935790,32938
1216.974135,35451
1216.974624,35483
1216.985427,36191
1217.001525,37246
1217.011992,37932
1217.021621,38563
1217.050017,40424
1217.063170,41286
1217.063796,41327
1217.083022,42587
1217.091323,43131
1217.099975,43698
1217.122375,45166
1217.133162,45873
1217.144851,46639
1217.156234,47385
1217.167937,48152
1217.178634,48853
1217.193770,49845
1217.217269,51385
1217.224639,51868
1217.225249,51908
1217.250503,53563
1217.251098,53602
1217.267760,54694
1217.290587,56190
1217.301406,56899
1217.313216,57673
1217.326476,58542
1217.334411,59062
1217.345916,59816
1217.363173,60947
1217.389434,62668
1217.399673,63339
1217.400405,63387
1217.421676,64781
1217.431624,65433
1217.441710,66093
1217.461791,67409
1217.471435,68041
1217.479644,68579
1217.503783,70161
1217.513274,70783
1217.525420,71579
1217.549712,73171
1217.550109,73197
1217.568877,74427
1217.595672,76183
1217.616469,77546
1217.625014,78106
1217.625426,78133
1217.648559,79649
1217.658538,80303
1217.676269,81465
1217.684752,82021
1217.702819,83205
1217.718764,84250
1217.736465,85410
1217.749236,86247
1217.768722,87524
1217.778899,88191
1217.786208,88670
1217.810027,90231
1217.810912,90289
1217.820052,90888
1217.843734,92440
1217.845061,92527
1217.855330,93200
1217.871352,94250
1217.894607,95774
1217.904555,96426
1217.926482,97863
1217.948638,99315
1217.957152,99873
1217.957717,99910
1217.978454,101269
1217.986785,101815
1218.004058,102947
1218.020965,104055
1218.038360,105195
1218.060180,106625
1218.077346,107750
1218.085631,108293
1218.086486,108349
1218.127608,111044
1218.128051,111073
1218.172103,113960
1218.197310,115612
1218.216781,116888
1218.217544,116938
1218.261565,119823
1218.287932,121551
1218.306258,122752
1218.306731,122783
1218.350799,125671
