key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.02.2024
Export Time,18:09:21
Frame Index Range:,0 - 4131
Relative Time Range,00:00.000 - 00:56.041
Absolute Time Range,7286.186531858764 - 7342.227791624389
