id,Intercepted,Spawning
1.0,5.627197265625,4.004096984863281
2.0,6.495586395263672,5.511684417724609
3.0,8.427635192871094,7.020851135253906
4.0,10.167778015136719,8.53277587890625
5.0,11.087066650390625,10.042617797851562
6.0,13.257453918457031,11.541107177734375
7.0,14.697700500488281,13.054428100585938
8.0,16.36895751953125,14.558578491210938
9.0,17.31787872314453,16.068687438964844
10.0,18.73499298095703,17.575973510742188
11.0,20.115371704101562,19.081741333007812
12.0,21.654891967773438,20.58721160888672
13.0,23.43647003173828,22.094619750976562
14.0,24.54114532470703,23.594322204589844
15.0,26.271873474121094,25.099571228027344
