key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.03.2024
Export Time,14:31:14
Frame Index Range:,0 - 968
Relative Time Range,00:00.000 - 00:35.801
Absolute Time Range,7977.246114640197 - 8013.047511963806
