key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:14:41
Frame Index Range:,0 - 3605
Relative Time Range,00:00.000 - 00:53.326
Absolute Time Range,106841.89013293087 - 106895.21693804562
