key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,16.02.2024
Export Time,16:33:38
Frame Index Range:,0 - 1919
Relative Time Range,00:00.000 - 00:32.115
Absolute Time Range,1953.8977337633057 - 1986.0129986558838
