index,timestamp,label,duration
118,1955.854566649048,Experiment Started,0.0
366,1959.8617077623292,Object Spawned,0.0
433,1960.861646727173,Object Spawned,0.0
459,1961.2780133043213,Intercepted,0.0
487,1961.8805981431885,Object Spawned,0.0
489,1961.92272765979,Intercepted,0.0
547,1962.8962231431885,Object Spawned,0.0
584,1963.5719891343995,Intercepted,0.0
604,1963.9208050523682,Object Spawned,0.0
664,1964.8986798082276,Intercepted,0.0
665,1964.922956541626,Object Spawned,0.0
686,1965.2788067613526,Intercepted,0.0
726,1965.9277478013917,Object Spawned,0.0
729,1965.9845257554932,Intercepted,0.0
784,1966.9328747545167,Object Spawned,0.0
836,1967.9508496080323,Object Spawned,0.0
841,1968.0378094468995,Intercepted,0.0
841,1968.038435057251,Intercepted,0.0
894,1968.9515820299073,Object Spawned,0.0
920,1969.40807922229,Intercepted,0.0
955,1969.9667034898682,Object Spawned,0.0
1002,1970.8816052232667,Intercepted,0.0
1008,1970.9710980211182,Object Spawned,0.0
1048,1971.5812512193604,Intercepted,0.0
1072,1971.9734478746338,Object Spawned,0.0
1137,1972.987379149048,Object Spawned,0.0
1140,1973.0351544176026,Intercepted,0.0
1156,1973.288679197876,Intercepted,0.0
1202,1974.0038281236573,Object Spawned,0.0
1228,1974.4431744371338,Intercepted,0.0
1263,1975.0023480211182,Object Spawned,0.0
1270,1975.1157666002198,Intercepted,0.0
1330,1976.0148754869385,Object Spawned,0.0
1341,1976.2314434801026,Intercepted,0.0
1379,1977.0105572496338,Object Spawned,0.0
1414,1977.556257322876,Intercepted,0.0
1440,1978.0150891099854,Object Spawned,0.0
1445,1978.0973492418213,Intercepted,0.0
1505,1979.0169964586182,Object Spawned,0.0
1532,1979.4743939195557,Intercepted,0.0
1630,1981.0664349351807,Intercepted,0.0
1803,1984.0326214586182,Experiment Ended,0.0
