key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:15:47
Frame Index Range:,0 - 3608
Relative Time Range,00:00.000 - 00:53.417
Absolute Time Range,107025.37541582882 - 107078.79286578
