key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:26:18
Frame Index Range:,0 - 3559
Relative Time Range,00:00.000 - 00:53.394
Absolute Time Range,107588.41950432013 - 107641.81354728888
