key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,08.02.2024
Export Time,16:33:45
Frame Index Range:,0 - 3631
Relative Time Range,00:00.000 - 00:50.028
Absolute Time Range,4420.248157121002 - 4470.276309586822
