key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:26:59
Frame Index Range:,0 - 3650
Relative Time Range,00:00.000 - 00:53.384
Absolute Time Range,107685.03739372443 - 107738.42209831427
