key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,05.03.2024
Export Time,00:45:57
Frame Index Range:,0 - 1640
Relative Time Range,00:00.000 - 00:35.137
Absolute Time Range,22295.55496434427 - 22330.692827503448
