Object_ID,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
1,3.459747314453125,3.4547994136810303,0.0049479007720947266,3.457502603530884,0.002244710922241211
2,,,,,
3,5.97650146484375,5.9701619148254395,0.006339550018310547,5.861850023269653,0.11465144157409668
4,6.4705963134765625,6.3914220333099365,0.07917428016662598,6.3914220333099365,0.07917428016662598
5,8.01416015625,7.991735458374023,0.022424697875976562,8.000375032424927,0.013785123825073242
6,9.059661865234375,9.028422594070435,0.03123927116394043,8.960504055023193,0.09915781021118164
7,10.384773254394531,10.308236122131348,0.0765371322631836,10.338061094284058,0.04671216011047363
8,12.116233825683594,12.103161573410034,0.01307225227355957,12.103161573410034,0.01307225227355957
9,13.659919738769531,13.652858972549438,0.0070607662200927734,13.530883550643921,0.12903618812561035
10,14.861663818359375,14.860364437103271,0.0012993812561035156,14.860364437103271,0.0012993812561035156
11,16.421035766601562,16.420642614364624,0.00039315223693847656,16.396650075912476,0.024385690689086914
12,18.110397338867188,18.104645013809204,0.0057523250579833984,17.990068435668945,0.12032890319824219
13,19.36688995361328,19.325222492218018,0.04166746139526367,19.304338932037354,0.06255102157592773
14,21.57300567626953,21.568923473358154,0.004082202911376953,21.520121097564697,0.052884578704833984
15,22.423797607421875,22.410603523254395,0.013194084167480469,22.276411533355713,0.1473860740661621
