key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.02.2024
Export Time,19:43:43
Frame Index Range:,0 - 2392
Relative Time Range,00:00.000 - 00:32.031
Absolute Time Range,12033.919373429719 - 12065.950890458527
