key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,27.02.2024
Export Time,13:03:10
Frame Index Range:,0 - 881
Relative Time Range,00:00.000 - 00:12.494
Absolute Time Range,6742.090711383789 - 6754.584871082276
