# timestamps [seconds],pts
6742.090711,0
6742.105612,976
6742.127203,2391
6742.150076,3890
6742.173593,5431
6742.193888,6761
6742.194452,6798
6742.201780,7278
6742.216409,8237
6742.223089,8675
6742.229650,9105
6742.253210,10649
6742.272737,11929
6742.289915,13054
6742.298414,13611
6742.317137,14838
6742.333421,15906
6742.342390,16493
6742.360365,17671
6742.368120,18179
6742.376665,18739
6742.391893,19737
6742.400102,20275
6742.451601,23650
6742.459963,24198
6742.467420,24687
6742.484785,25825
6742.492384,26323
6742.500135,26831
6742.521112,28206
6742.529394,28749
6742.551958,30227
6742.569589,31383
6742.576540,31838
6742.577146,31878
6742.595640,33090
6742.603884,33630
6742.612196,34175
6742.635195,35682
6742.641592,36101
6742.664331,37592
6742.681959,38747
6742.715280,40931
6742.715879,40970
6742.728517,41798
6742.745371,42903
6742.754152,43478
6742.789705,45808
6742.790796,45880
6742.809000,47073
6742.837015,48909
6742.837580,48946
6742.855402,50113
6742.869623,51045
6742.877481,51560
6742.899538,53006
6742.920473,54378
6742.931886,55126
6742.945436,56014
6742.963907,57224
6742.971689,57734
6742.972276,57773
6742.987245,58754
6743.020586,60939
6743.032099,61693
6743.047617,62710
6743.055849,63250
6743.066324,63936
6743.081674,64942
6743.090410,65515
6743.090959,65551
6743.115198,67139
6743.126451,67877
6743.133631,68347
6743.150514,69454
6743.158136,69953
6743.177095,71196
6743.199304,72651
6743.211283,73436
6743.221857,74129
6743.239031,75255
6743.246965,75775
6743.247644,75819
6743.272325,77437
6743.288973,78528
6743.302599,79421
6743.323366,80782
6743.344362,82157
6743.366823,83629
6743.378023,84363
6743.389208,85096
6743.400514,85837
6743.416658,86895
6743.424616,87417
6743.433794,88018
6743.451021,89147
6743.458826,89659
6743.468195,90273
6743.481706,91158
6743.511965,93141
6743.512453,93173
6743.539392,94939
6743.545938,95368
6743.557024,96094
6743.573137,97150
6743.590257,98272
6743.601640,99018
6743.623575,100456
6743.635271,101222
6743.646578,101963
6743.668627,103408
6743.679712,104135
6743.691278,104893
6743.707315,105944
6743.714464,106412
6743.724527,107072
6743.739694,108066
6743.768961,109984
6743.769617,110027
6743.795839,111745
6743.803171,112226
6743.803774,112265
6743.826875,113779
6743.848322,115184
6743.870424,116633
6743.886041,117656
6743.893854,118168
6743.894640,118220
6743.917291,119704
6743.926393,120301
6743.948427,121745
6743.971391,123250
6743.982378,123970
6743.993166,124677
6744.007929,125644
6744.026453,126858
6744.027132,126903
6744.036341,127506
6744.051943,128529
6744.059931,129052
6744.082170,130510
6744.104311,131961
6744.104845,131996
6744.127146,133457
6744.148577,134862
6744.149263,134907
6744.171167,136342
6744.206369,138649
6744.219255,139494
6744.219682,139522
6744.235254,140542
6744.242822,141038
6744.251207,141588
6744.272394,142976
6744.272981,143015
6744.294832,144447
6744.310640,145483
6744.318147,145975
6744.338930,147337
6744.354761,148374
6744.363962,148977
6744.372766,149554
6744.397684,151187
6744.406320,151753
6744.413423,152218
6744.428079,153179
6744.435144,153642
6744.442995,154156
6744.465143,155608
6744.473139,156132
6744.495470,157595
6744.510851,158603
6744.517946,159068
6744.518801,159124
6744.541696,160625
6744.542085,160650
6744.562464,161986
6744.578577,163042
6744.586435,163557
6744.587053,163597
6744.622965,165951
6744.630197,166425
6744.645174,167406
6744.652284,167872
6744.673761,169280
6744.690485,170376
6744.698091,170874
6744.698572,170906
6744.721529,172410
6744.722208,172455
6744.729601,172939
6744.752268,174425
6744.752695,174453
6744.774614,175889
6744.790743,176946
6744.797853,177412
6744.798807,177475
6744.833223,179730
6744.840486,180206
6744.854387,181117
6744.864160,181757
6744.886034,183191
6744.903337,184325
6744.911257,184844
6744.911997,184892
6744.930300,186092
6744.940569,186765
6744.949129,187326
6744.962404,188196
6744.989389,189964
6744.998194,190541
6745.019800,191957
6745.042444,193441
6745.053682,194178
6745.070337,195269
6745.076586,195679
6745.077692,195751
6745.102800,197397
6745.103426,197438
6745.111116,197942
6745.132776,199361
6745.154093,200758
6745.165758,201523
6745.181154,202532
6745.199251,203718
6745.199724,203749
6745.209818,204410
6745.232363,205888
6745.232813,205917
6745.254877,207363
6745.266222,208107
6745.277452,208843
6745.288255,209551
6745.304308,210603
6745.311640,211083
6745.312135,211116
6745.337992,212810
6745.348223,213480
6745.355211,213938
6745.371233,214988
6745.379282,215516
6745.400049,216877
6745.417269,218005
6745.424043,218449
6745.424623,218487
6745.446695,219934
6745.466875,221256
6745.489099,222713
6745.505510,223788
6745.513178,224291
6745.513658,224322
6745.536470,225817
6745.536966,225850
6745.546015,226443
6745.570764,228065
6745.594713,229634
6745.610452,230666
6745.616968,231093
6745.624452,231583
6745.645914,232990
6745.668047,234440
6745.690355,235902
6745.701433,236628
6745.712625,237362
6745.723947,238104
6745.741144,239231
6745.748819,239734
6745.749635,239787
6745.763971,240727
6745.801988,243218
6745.824358,244684
6745.840967,245772
6745.848429,246261
6745.848833,246288
6745.872072,247811
6745.880182,248342
6745.914049,250562
6745.929247,251558
6745.938097,252138
6745.938677,252176
6745.955408,253272
6745.969309,254183
6745.992037,255673
6746.017046,257312
6746.029444,258124
6746.036485,258586
6746.048250,259357
6746.069994,260782
6746.070596,260821
6746.092653,262267
6746.114847,263721
6746.115442,263760
6746.137232,265188
6746.159387,266640
6746.159830,266669
6746.182443,268151
6746.217882,270474
6746.225382,270965
6746.241411,272016
6746.248476,272479
6746.271089,273961
6746.293360,275420
6746.304765,276168
6746.315759,276888
6746.327196,277638
6746.338335,278368
6746.349642,279108
6746.365961,280178
6746.373361,280663
6746.374681,280749
6746.393045,281953
6746.400232,282424
6746.408235,282948
6746.423433,283944
6746.431230,284455
6746.438867,284956
6746.464197,286616
6746.485658,288022
6746.486315,288065
6746.509569,289589
6746.509966,289615
6746.518007,290142
6746.540079,291589
6746.540827,291638
6746.561891,293018
6746.572588,293719
6746.583940,294463
6746.595453,295218
6746.611627,296278
6746.618814,296749
6746.619844,296816
6746.654901,299114
6746.673532,300335
6746.674318,300386
6746.695917,301802
6746.706667,302506
6746.717790,303235
6746.734239,304313
6746.741571,304794
6746.751459,305442
6746.767664,306504
6746.774797,306971
