time,norm_pos_x,norm_pos_y,angular_distance,angular_velocity,movement_type,smoothed_norm_pos_x,smoothed_norm_pos_y,smoothed_angular_distance,smoothed_angular_velocity,smoothed_movement_type
0.04328203201293945,0.4840206017844301,0.7122682952171819,0.9739287125286425,0.1694298638453837,None,0.48613189314815497,0.714199968824637,0.9731641478975364,-0.053098921796320274,None
0.045211076736450195,0.4849597196543974,0.710935209318625,0.9721554957600314,-0.9192201440431363,Saccades,0.4860615722427408,0.7137958915103976,0.9729681755024888,-0.10159038443177268,None
0.04864144325256348,0.4841689849115775,0.7100240842570811,0.9723181578557081,0.04741828458057186,None,0.48604413468857915,0.7135252355688939,0.9728084180109883,-0.046571551684091064,None
0.05261349678039551,0.4833589799903359,0.7098448683312775,0.9729798507957685,0.16658711556226713,None,0.4856476500935744,0.7135252355688939,0.9731880680990644,0.09558030510313434,Smooth Pursuit
0.05594348907470703,0.4830565608013216,0.7125951670885381,0.9750683191364409,0.6271691211538148,Saccades,0.48511081919282145,0.712859105346831,0.9732680666835946,0.024023654549223596,None
0.060007572174072266,0.4822738287032964,0.7114441233090326,0.975070686716775,0.0005825619890712875,None,0.48456435228298744,0.7124317311528601,0.9735133520447932,0.06035441579354552,None
0.06396341323852539,0.4812205470903231,0.7073212249007317,0.9733856405032032,-0.42596408352031295,None,0.4840947933480038,0.7118562092631073,0.9735883816929233,0.01896680046231378,None
0.06783699989318848,0.4817642924099955,0.7069106264495844,0.9725901323106064,-0.20536734130863618,None,0.483689790887383,0.7111896663138288,0.973541966661112,-0.011982443133256622,None
0.07181596755981445,0.4808455252460945,0.7042841934466192,0.9717459675670627,-0.21215672362062304,None,0.48320777039582874,0.710479646787853,0.9735411260705861,-0.0002112584460069777,None
0.07583951950073242,0.4816280574284547,0.7035166395825524,0.9704803307600969,-0.31455709421686573,None,0.48266519475230896,0.7099344762941793,0.9737066016164727,0.04112673287594907,None
0.07988858222961426,0.4812770083667184,0.7008853349522007,0.9690727333768459,-0.3476353609467883,None,0.48201906055664595,0.7085830466160046,0.973443485175998,-0.06498206081074484,Smooth Pursuit
0.08388042449951172,0.4819274859405302,0.6999247250973502,0.9678018413578328,-0.3183723035844645,None,0.48184588917526283,0.707115925675158,0.9726464492445968,-0.1996661885695471,Smooth Pursuit
0.08784604072570801,0.4832394979702183,0.6998751725776041,0.9664982168325469,-0.3287318920762725,None,0.48184588917526283,0.7055974099481017,0.9716456618306627,-0.2523661788861462,Smooth Pursuit
0.09512805938720703,0.4838289078095427,0.700460980787738,0.9663194593620015,-0.02454779077819777,None,0.48184588917526283,0.7039004165145858,0.9705237660900002,-0.15406383762706732,Smooth Pursuit
0.10043907165527344,0.4833914379568554,0.6962966878672521,0.9639520064888394,-0.44576302099637494,None,0.48184588917526283,0.7022009872673766,0.9693965625908622,-0.2122389183537829,Smooth Pursuit
0.10354161262512207,0.4836548337031171,0.6963635026570093,0.9637417516529818,-0.06776859287303097,None,0.48184588917526283,0.7006731578699694,0.9683800072173698,-0.3276525220364515,Smooth Pursuit
0.10670709609985352,0.484403464213292,0.6947081542321958,0.9619007540479941,-0.5815849678835772,None,0.48258349195537426,0.7001928529425441,0.967345278057409,-0.32687871164723714,Smooth Pursuit
0.10874295234680176,0.4839743482153461,0.6971043804362711,0.9639305329177602,0.9970148299069359,Saccades,0.48331546796353686,0.6998999488374771,0.9664412681725896,-0.4440440655741476,Smooth Pursuit
0.11466646194458008,0.4837785722170163,0.7032414349141343,0.9682192776788192,0.7240209018429795,Saccades,0.4835231358299863,0.6998999488374771,0.9662403893201368,-0.03391213420640567,None
0.11867260932922363,0.4821394058993881,0.7144251570771827,0.9771404941184094,2.2268817352519767,Saccades,0.4835231358299863,0.6998999488374771,0.9662403893201368,0.0,None
0.1221919059753418,0.4829976286178024,0.7246286336597174,0.9828779243530655,1.6302775274669117,Saccades,0.4835231358299863,0.6998999488374771,0.9662403893201368,0.0,None
0.12578797340393066,0.480453107708875,0.7337991154117092,0.9910909360399348,2.2838870098974047,Saccades,0.4835231358299863,0.700168076682671,0.9664194974335336,0.049806661569500844,None
0.12782907485961914,0.4809415104819259,0.739933640468466,0.9944356954264989,1.638703150812207,Saccades,0.4835231358299863,0.7018512078509361,0.9675417024184761,0.5498036277496089,None
0.13179302215576172,0.4821682893429833,0.7484326257996929,0.9984828156228324,1.0209823425936626,Saccades,0.48319453328732886,0.7088332959956585,0.9724746088379029,1.2444429884895611,Saccades
0.13950204849243164,0.4815305345841512,0.7617304169303991,1.0070694656711947,1.11384365202098,Saccades,0.48258295898039283,0.71952689536845,0.9800101864085167,0.9775005612276702,Saccades
0.14525103569030762,0.4793755640726959,0.7722445200176445,1.015254564036628,1.423746145835446,Saccades,0.4821538476211857,0.7292138745357133,0.986590151269552,1.1445433142495653,Saccades
0.14852142333984375,0.4784872539774149,0.7780920123078646,1.0194570415247726,1.285008977067502,Saccades,0.48183497024176963,0.7368663779400876,0.9916861959524375,1.5582387254943029,Saccades
0.15171098709106445,0.4782803776262853,0.7876541467715761,1.0250839565916723,1.764164476959019,Saccades,0.48123602253303854,0.7441831331340795,0.9967702462583853,1.593964160146375,Saccades
0.1549065113067627,0.4749337893300385,0.7974807141440851,1.0336607250637493,2.683994203499698,Saccades,0.4806973090954004,0.755081521365046,1.0038871940601117,2.2271612797562073,Saccades
0.1567850112915039,0.4763894101696621,0.8081989226280442,1.0381734596523577,2.402307492821273,Saccades,0.47991433589078547,0.7669874684740219,1.0116841699041825,4.150639290606615,Saccades
