Object_ID,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
1,4.770454406738281,4.767777442932129,0.0026769638061523438,4.7197675704956055,0.05068683624267578
2,6.422004699707031,6.401834487915039,0.020170211791992188,6.40575647354126,0.016248226165771484
3,7.775230407714844,7.68325400352478,0.09197640419006348,7.652087926864624,0.12314248085021973
4,9.355545043945312,9.244312524795532,0.11123251914978027,9.097841024398804,0.2577040195465088
5,10.585113525390625,10.58329153060913,0.0018219947814941406,10.58329153060913,0.0018219947814941406
6,12.213668823242188,12.12788701057434,0.08578181266784668,11.914073944091797,0.2995948791503906
7,14.077392578125,14.05598497390747,0.021407604217529297,13.754791975021362,0.3226006031036377
8,15.338134765625,15.335825443267822,0.0023093223571777344,15.335825443267822,0.0023093223571777344
9,16.683761596679688,16.649948120117188,0.0338134765625,16.629806995391846,0.0539546012878418
10,18.313919067382812,18.11447238922119,0.1994466781616211,18.005940914154053,0.30797815322875977
11,19.664337158203125,19.660290479660034,0.00404667854309082,19.660290479660034,0.00404667854309082
12,21.593063354492188,21.550270557403564,0.04279279708862305,21.23506188392639,0.3580014705657959
13,22.718734741210938,22.71790099143982,0.0008337497711181641,22.71790099143982,0.0008337497711181641
14,24.45855712890625,24.3967924118042,0.06176471710205078,24.228643894195557,0.22991323471069336
15,26.05621337890625,25.949821949005127,0.10639142990112305,25.828069925308228,0.22814345359802246
