key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,05.03.2024
Export Time,14:17:26
Frame Index Range:,0 - 1973
Relative Time Range,00:00.000 - 00:31.599
Absolute Time Range,11232.712759556396 - 11264.312017979248
