index,timestamp,label,duration,id,objectType,segmentLocation
133,11234.66754013501,Experiment Started,0.0,,,
134,11234.66957718335,Spawning,0.0,1,Obstacle,
237,11236.189779820068,Spawning,0.0,2,Obstacle,
265,11236.67705398999,Looking At,0.0,2,Obstacle,1
267,11236.691374363525,Looking At,0.0,2,Obstacle,1
269,11236.724409641845,Looking At,0.0,2,Obstacle,1
269,11236.733236851318,Looking At,0.0,2,Obstacle,1
270,11236.74671036206,Looking At,0.0,2,Obstacle,1
271,11236.759970249755,Looking At,0.0,2,Obstacle,1
273,11236.787367405517,Looking At,0.0,2,Obstacle,1
273,11236.796660008056,Looking At,0.0,2,Obstacle,1
274,11236.809576572998,Looking At,0.0,2,Obstacle,1
275,11236.821829380615,Looking At,0.0,2,Obstacle,1
276,11236.836599888427,Looking At,0.0,2,Obstacle,1
277,11236.846815647705,Looking At,0.0,2,Obstacle,1
278,11236.859938206298,Looking At,0.0,2,Obstacle,1
279,11236.880972447021,Looking At,0.0,2,Obstacle,1
280,11236.890524448974,Looking At,0.0,2,Obstacle,1
281,11236.910833897216,Looking At,0.0,2,Obstacle,1
282,11236.924284519775,Looking At,0.0,2,Obstacle,1
283,11236.936941685302,Looking At,0.0,2,Obstacle,1
284,11236.949881138427,Looking At,0.0,2,Obstacle,1
285,11236.963598789795,Looking At,0.0,2,Obstacle,1
286,11236.979879917724,Looking At,0.0,2,Obstacle,1
287,11236.991987766845,Looking At,0.0,2,Obstacle,1
288,11237.008246006591,Looking At,0.0,2,Obstacle,1
289,11237.017187656982,Looking At,0.0,2,Obstacle,1
290,11237.030745091064,Looking At,0.0,2,Obstacle,1
291,11237.046988072021,Looking At,0.0,2,Obstacle,1
292,11237.069922031982,Looking At,0.0,2,Obstacle,1
294,11237.089521946533,Looking At,0.0,2,Obstacle,1
294,11237.100370945556,Looking At,0.0,2,Obstacle,1
295,11237.113371433838,Looking At,0.0,2,Obstacle,1
296,11237.124380650146,Looking At,0.0,2,Obstacle,1
297,11237.138838352783,Looking At,0.0,2,Obstacle,1
298,11237.147764744384,Looking At,0.0,2,Obstacle,1
298,11237.154379429443,Looking At,0.0,2,Obstacle,1
299,11237.168608250244,Looking At,0.0,2,Obstacle,1
300,11237.184073032959,Looking At,0.0,2,Obstacle,1
300,11237.191404881103,Looking At,0.0,2,Obstacle,1
316,11237.420759739502,Looking At,0.0,2,Obstacle,1
317,11237.429625095947,Looking At,0.0,2,Obstacle,1
318,11237.45130020581,Looking At,0.0,2,Obstacle,1
319,11237.46458298169,Looking At,0.0,2,Obstacle,1
320,11237.474714817627,Looking At,0.0,2,Obstacle,1
321,11237.486433567627,Looking At,0.0,2,Obstacle,1
322,11237.511831822021,Looking At,0.0,2,Obstacle,1
323,11237.5227418562,Looking At,0.0,2,Obstacle,1
325,11237.541990818603,Looking At,0.0,2,Obstacle,1
335,11237.706411900146,Spawning,0.0,3,Obstacle,
338,11237.761091770752,Looking At,0.0,1,Obstacle,5
339,11237.778822483642,Looking At,0.0,1,Obstacle,5
340,11237.79195267163,Looking At,0.0,1,Obstacle,5
341,11237.803846897705,Looking At,0.0,1,Obstacle,5
342,11237.81468063794,Looking At,0.0,1,Obstacle,5
343,11237.82865768872,Looking At,0.0,1,Obstacle,5
344,11237.83714157544,Looking At,0.0,1,Obstacle,5
345,11237.85404831372,Looking At,0.0,1,Obstacle,5
346,11237.869238438232,Looking At,0.0,1,Obstacle,5
347,11237.878264011963,Looking At,0.0,1,Obstacle,5
347,11237.88531357251,Looking At,0.0,1,Obstacle,5
348,11237.917509617431,Looking At,0.0,1,Obstacle,5
349,11237.9407106062,Looking At,0.0,1,Obstacle,5
350,11237.950552525146,Looking At,0.0,1,Obstacle,5
351,11237.963133396728,Looking At,0.0,1,Obstacle,5
353,11237.99069839917,Looking At,0.0,1,Obstacle,5
353,11238.000372471435,Looking At,0.0,1,Obstacle,5
354,11238.020048679931,Looking At,0.0,1,Obstacle,5
355,11238.032644810302,Looking At,0.0,1,Obstacle,5
357,11238.058371128662,Looking At,0.0,1,Obstacle,5
362,11238.127287449463,Intercepted,0.0,1,Obstacle,
365,11238.180433811767,Looking At,0.0,1,Obstacle,5
366,11238.191732945068,Looking At,0.0,1,Obstacle,5
366,11238.206480564697,Looking At,0.0,1,Obstacle,5
