key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,09.02.2024
Export Time,18:03:13
Frame Index Range:,0 - 1802
Relative Time Range,00:00.000 - 00:24.967
Absolute Time Range,1245.140925937866 - 1270.1080279886473
