key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,08.02.2024
Export Time,16:53:50
Frame Index Range:,0 - 3467
Relative Time Range,00:00.000 - 00:50.052
Absolute Time Range,5649.843386927734 - 5699.896365443359
