key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:15:22
Frame Index Range:,0 - 3572
Relative Time Range,00:00.000 - 00:53.387
Absolute Time Range,106923.23637774288 - 106976.62355425656
