key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.02.2024
Export Time,17:32:49
Frame Index Range:,0 - 655
Relative Time Range,00:00.000 - 00:14.533
Absolute Time Range,7001.063423913269 - 7015.596634667663
