# timestamps [seconds],pts
22295.554964,0
22295.571078,1055
22295.578493,1541
22295.593172,2503
22295.601488,3048
22295.608858,3531
22295.631563,5019
22295.642794,5755
22295.653506,6457
22295.665758,7260
22295.675265,7883
22295.687166,8663
22295.687929,8713
22295.731280,11554
22295.745470,12484
22295.775164,14430
22295.775820,14473
22295.791292,15487
22295.799319,16013
22295.821383,17459
22295.838518,18582
22295.847536,19173
22295.848299,19223
22295.865694,20363
22295.877520,21138
22295.924502,24217
22295.925219,24264
22295.941408,25325
22295.950518,25922
22295.959185,26490
22295.973940,27457
22296.001635,29272
22296.010805,29873
22296.033526,31362
22296.051424,32535
22296.060427,33125
22296.061037,33165
22296.077349,34234
22296.085955,34798
22296.096148,35466
22296.134875,38004
22296.163439,39876
22296.178301,40850
22296.187319,41441
22296.204577,42572
22296.213274,43142
22296.223040,43782
22296.246966,45350
22296.268740,46777
22296.285219,47857
22296.294649,48475
22296.295580,48536
22296.314745,49792
22296.323870,50390
22296.333681,51033
22296.349108,52044
22296.358370,52651
22296.368792,53334
22296.393511,54954
22296.432802,57529
22296.447649,58502
22296.461916,59437
22296.472536,60133
22296.491350,61366
22296.501711,62045
22296.511553,62690
22296.528048,63771
22296.536608,64332
22296.547594,65052
22296.571307,66605
22296.572558,66687
22296.582232,67321
22296.606829,68933
22296.607470,68975
22296.644839,71424
22296.669207,73021
22296.699969,75037
22296.710070,75699
22296.717867,76210
22296.735216,77347
22296.751452,78411
22296.759905,78965
22296.784151,80554
22296.803988,81854
22296.837359,84041
22296.861635,85632
22296.876650,86616
22296.877566,86676
22296.896868,87941
22296.905367,88498
22296.948885,91350
22296.971255,92816
22296.994021,94308
22297.015902,95742
22297.042589,97491
22297.072253,99435
22297.083559,100176
22297.131762,103335
22297.141253,103957
22297.186510,106923
22297.208941,108393
22297.250338,111106
22297.261507,111838
22297.283953,113309
22297.321322,115758
22297.351107,117710
22297.351885,117761
22297.417712,122075
22297.451586,124295
22297.507189,127939
22297.540728,130137
22297.586413,133130
22297.630297,136006
22297.708254,141115
22297.725329,142234
22297.823580,148673
22297.846789,150194
22297.864703,151368
22297.901888,153805
22297.902422,153840
22297.931963,155776
22297.998476,160135
22298.032870,162389
22298.088167,166013
22298.133211,168965
22298.172427,171535
22298.218325,174543
22298.244555,176262
22298.278216,178468
22298.311632,180658
22298.348147,183051
22298.379137,185082
22298.379885,185131
22298.445574,189436
22298.501604,193108
22298.546221,196032
22298.586565,198675
22298.624743,201177
22298.646548,202606
22298.680071,204803
22298.702563,206277
22298.724688,207727
22298.747622,209230
22298.769915,210691
22298.791872,212130
22298.817492,213809
22298.836840,215077
22298.837405,215114
22298.881411,217998
22298.914904,220193
22298.937060,221645
22298.963686,223390
