index,timestamp,label,duration
190,3485.6839144763794,ExperimentStarted,0.0
190,3485.6846774158325,ObjectSpawned,0.0
474,3489.695511156067,ObjectSpawned,0.0
745,3493.7056124744263,ObjectSpawned,0.0
1024,3497.71141081427,ObjectSpawned,0.0
1303,3501.721908861145,ObjectSpawned,0.0
