gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3482.6940759999998,0,0.9142580330371857,0.48971990134711685,0.5947860752177558,3482.696266-0 3482.691886-1,-15.552425738469884,-107.54906973473481,982.636190490201,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.048550621828153534,-0.1040706896079861,0.9933841798038753,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.017051051943740143,-0.10875364828129191,0.9939224847105135
3482.6980345,1,0.9131648540496826,0.4886490226927477,0.5913525420240774,3482.696266-0 3482.699803-1,-18.025092704511167,-108.79931266301747,1031.421435331235,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.048550621828153534,-0.1040706896079861,0.9933841798038753,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.013813310584398969,-0.10129631436799147,0.9947603978577756
3482.701888,1,0.9151538610458374,0.4887040157795471,0.5921603932684957,3482.703973-0 3482.699803-1,-17.970438144428595,-109.96137748663392,1033.30014457025,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.048381735619291724,-0.1058864647686677,0.9932005156247449,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.013813310584398969,-0.10129631436799147,0.9947603978577756
3482.7062215,1,0.9104031026363373,0.4890374425433356,0.5934484289310523,3482.703973-0 3482.70847-1,-17.17725334123194,-109.81839851929061,1017.7327254851673,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.048381735619291724,-0.1058864647686677,0.9932005156247449,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.014822901138283546,-0.10411046203851734,0.9944552746584288
3482.710171,1,0.9260199666023254,0.48861393321189767,0.5934426844312655,3482.7118720000003-0 3482.70847-1,-17.48335771247584,-107.61125250246047,997.3394951997145,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.04965570817909281,-0.10577780359433066,0.9931492168410505,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.014822901138283546,-0.10411046203851734,0.9944552746584288
3482.7139260000004,1,0.9171781241893768,0.48884737888023955,0.5943367512371281,3482.7118720000003-0 3482.71598-1,-16.949369899338702,-107.52731182987952,987.116725387494,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.04965570817909281,-0.10577780359433066,0.9931492168410505,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.015529436628084247,-0.10606091523203365,0.9942383611881799
3482.7183095,2,0.904668778181076,0.48912521059545344,0.5945533941933789,3482.720639-0 3482.71598-1,-16.741303843317752,-109.1708797330748,999.9086478980195,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.04881927697134556,-0.1063241429391132,0.9931323450700106,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.015529436628084247,-0.10606091523203365,0.9942383611881799
3482.7222635,2,0.9216317236423492,0.4892465366965035,0.5931542834082818,3482.720639-0 3482.723888-1,-16.44087624932741,-106.81707853452811,993.0440286287535,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.04881927697134556,-0.1063241429391132,0.9931323450700106,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.01588902362813802,-0.1029027259216196,0.9945645116964733
3482.725901,2,0.9289770126342773,0.48803993047557703,0.592522425849082,3482.727914-0 3482.723888-1,-17.31220542852435,-100.44468636493968,940.1791025424798,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.05244819910819178,-0.10464331792284959,0.9931258542724608,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.01588902362813802,-0.1029027259216196,0.9945645116964733
3482.730124,2,0.9024000763893127,0.48845192659625053,0.59238299589671,3482.727914-0 3482.7323340000003-1,-16.411183250428778,-98.4654033974353,923.0436956142672,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.05244819910819178,-0.10464331792284959,0.9931258542724608,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.017128080440230134,-0.10250238807780943,0.9945852850805601
3482.734184,2,0.9431302845478058,0.48757376383384327,0.59240117189852,3482.736034-0 3482.7323340000003-1,-17.004029156080982,-94.83114194894024,888.800190235919,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.05508236161280035,-0.1044858146252977,0.9929998227498558,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.017128080440230134,-0.10250238807780943,0.9945852850805601
3482.738061,3,0.973356157541275,0.4874829888392481,0.5924166235261292,3482.736034-0 3482.740088-1,-17.194622511010206,-95.21456050086823,892.2445575937963,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.05508236161280035,-0.1044858146252977,0.9929998227498558,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.016855096946227586,-0.10255641027041443,0.9945843797382803
3482.741993,3,0.963035374879837,0.4874679960032317,0.5917973294630954,3482.743898-0 3482.740088-1,-17.21434397289724,-94.57171448269185,892.1992487260595,33.133006109098204,0.22384691096405263,-15.028244641319645,-0.05513016990931641,-0.10310324897703556,0.9931416738895562,-32.58816698624831,-1.5289957972347885,-16.04931001276243,0.016855096946227586,-0.10255641027041443,0.9945843797382803
