key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,12.02.2024
Export Time,18:06:16
Frame Index Range:,0 - 4034
Relative Time Range,00:00.000 - 00:56.055
Absolute Time Range,7186.214730100952 - 7242.270516233764
