index,timestamp,label,duration
300,7190.169808225952,Recording started,0.0
601,7194.172615843139,Experiment Started,0.0
602,7194.175240354858,Object Spawned,0.0
821,7197.135750608764,Intercepted,0.0
902,7198.185799436889,Object Spawned,0.0
1124,7201.100289182983,Intercepted,0.0
1205,7202.187691526733,Object Spawned,0.0
1404,7205.0884483626705,Intercepted,0.0
1490,7206.206734495483,Object Spawned,0.0
1709,7209.1751182845455,Intercepted,0.0
1782,7210.2022178939205,Object Spawned,0.0
2000,7213.113045530639,Intercepted,0.0
2079,7214.208016233764,Object Spawned,0.0
2293,7217.161751585327,Intercepted,0.0
2365,7218.216194944702,Object Spawned,0.0
2622,7222.221321897827,Object Spawned,0.0
2839,7225.140755491577,Intercepted,0.0
2922,7226.237191038452,Object Spawned,0.0
3141,7229.201058225952,Intercepted,0.0
3203,7230.256478147827,Object Spawned,0.0
3385,7233.210396604858,Intercepted,0.0
3446,7234.2593468001705,Experiment Ended,0.0
3741,7238.277962522827,Recording Ended,0.0
