key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:29:14
Frame Index Range:,0 - 3680
Relative Time Range,00:00.000 - 00:53.404
Absolute Time Range,107846.39896599005 - 107899.80369011115
