key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,27.02.2024
Export Time,15:59:18
Frame Index Range:,0 - 3277
Relative Time Range,00:00.000 - 00:45.155
Absolute Time Range,17325.63246822577 - 17370.787634851746
