key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.03.2024
Export Time,02:13:40
Frame Index Range:,0 - 3609
Relative Time Range,00:00.000 - 00:53.369
Absolute Time Range,107130.19267657101 - 107183.56264117062
