key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,06.02.2024
Export Time,06:42:23
Frame Index Range:,0 - 4021
Relative Time Range,00:00.000 - 00:49.832
Absolute Time Range,32801.483983385464 - 32851.31645714035
