id,start_time,end_time
1.0,4.2059326171875,4.54632568359375
2.0,5.23724365234375,5.26214599609375
3.0,6.03973388671875,6.107177734375
4.0,6.94122314453125,7.0311279296875
5.0,7.64483642578125,7.83184814453125
8.0,10.1138916015625,10.1593017578125
9.0,10.77197265625,10.80389404296875
10.0,11.6422119140625,11.65911865234375
11.0,12.65155029296875,12.689453125
12.0,13.151611328125,13.44586181640625
14.0,14.9228515625,15.16326904296875
17.0,17.7493896484375,17.7493896484375
18.0,18.14324951171875,18.18719482421875
19.0,19.07696533203125,19.1234130859375
20.0,19.59716796875,19.66510009765625
21.0,20.57940673828125,20.59600830078125
23.0,22.24786376953125,22.26904296875
25.0,23.8525390625,23.86334228515625
26.0,24.63873291015625,24.7841796875
27.0,25.2930908203125,25.5966796875
29.0,27.13037109375,27.13037109375
30.0,27.7066650390625,28.2261962890625
31.0,28.707763671875,28.707763671875
32.0,29.59881591796875,29.74615478515625
33.0,30.3297119140625,30.3851318359375
36.0,32.74481201171875,32.74481201171875
37.0,33.51336669921875,33.7470703125
42.0,37.653076171875,37.6910400390625
44.0,38.974365234375,38.98431396484375
46.0,40.8001708984375,40.8001708984375
47.0,41.619384765625,41.68939208984375
50.0,44.20892333984375,44.28302001953125
