id,ObjectSpeed,Spawning,Intercepted
1.0,16.0,4.0020751953125,4.6649169921875
2.0,17.0,4.8133544921875,5.4669189453125
3.0,16.0,5.62066650390625,6.32489013671875
4.0,13.0,6.4368896484375,7.2061767578125
5.0,15.0,7.254150390625,7.93994140625
6.0,16.0,8.0447998046875,8.7188720703125
7.0,10.0,8.84930419921875,9.80322265625
8.0,13.0,9.65460205078125,
9.0,19.0,10.46002197265625,11.04339599609375
10.0,16.0,11.275634765625,11.9564208984375
11.0,14.0,12.0714111328125,12.85693359375
12.0,12.0,12.876220703125,13.70648193359375
13.0,12.0,13.6937255859375,14.5848388671875
14.0,15.0,14.5089111328125,15.197998046875
15.0,17.0,15.32012939453125,15.94891357421875
16.0,12.0,16.1334228515625,16.998046875
17.0,10.0,16.9371337890625,17.9677734375
18.0,13.0,17.7501220703125,
19.0,15.0,18.55609130859375,19.2523193359375
20.0,11.0,19.35888671875,20.23272705078125
21.0,19.0,20.1729736328125,20.768310546875
22.0,18.0,20.97711181640625,21.5777587890625
23.0,18.0,21.79486083984375,22.405517578125
24.0,18.0,22.58770751953125,23.19287109375
25.0,16.0,23.39508056640625,24.04541015625
26.0,14.0,24.21051025390625,24.9422607421875
27.0,13.0,25.0145263671875,25.79833984375
28.0,13.0,25.8201904296875,26.6351318359375
29.0,14.0,26.63580322265625,27.34539794921875
30.0,11.0,27.43218994140625,28.3231201171875
31.0,16.0,28.2557373046875,28.9222412109375
32.0,10.0,29.03753662109375,30.01873779296875
33.0,16.0,29.8427734375,30.50457763671875
34.0,19.0,30.64434814453125,31.2315673828125
35.0,14.0,31.45050048828125,32.16748046875
36.0,17.0,32.2628173828125,
37.0,13.0,33.078369140625,
38.0,10.0,33.87530517578125,34.84112548828125
39.0,14.0,34.6796875,35.3841552734375
40.0,18.0,35.484375,
41.0,19.0,36.2928466796875,36.857421875
42.0,11.0,37.10906982421875,38.028076171875
43.0,16.0,37.911376953125,38.5682373046875
44.0,17.0,38.71246337890625,39.37713623046875
45.0,15.0,39.5155029296875,40.19921875
46.0,16.0,40.341796875,41.0194091796875
47.0,12.0,41.151123046875,41.995361328125
48.0,13.0,41.95281982421875,42.753173828125
49.0,11.0,42.7691650390625,43.7073974609375
50.0,11.0,43.58197021484375,
