Object ID,Object Speed,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
1,17.0,5.139984130859375,5.112078905105591,0.02790522575378418,5.112078905105591,0.02790522575378418
2,13.0,6.243896484375,6.2298619747161865,0.014034509658813477,6.021986961364746,0.2219095230102539
3,15.0,6.82623291015625,6.823065996170044,0.0031669139862060547,6.823065996170044,0.0031669139862060547
4,10.0,8.242401123046875,8.19420599937439,0.04819512367248535,8.163090944290161,0.07931017875671387
5,14.0,,,,,
6,12.0,9.635223388671875,9.634377002716064,0.0008463859558105469,9.62598204612732,0.009241342544555664
7,15.0,10.1322021484375,10.126153945922852,0.0060482025146484375,9.895965814590454,0.2362363338470459
8,15.0,10.878570556640625,10.868211507797241,0.010359048843383789,10.689888000488281,0.18868255615234375
9,10.0,12.26031494140625,12.252049922943115,0.008265018463134766,12.260241985321045,7.295608520507812e-05
10,15.0,,,,,
11,10.0,13.859100341796875,13.85396146774292,0.005138874053955078,13.858027935028076,0.0010724067687988281
12,18.0,13.860198974609375,13.85396146774292,0.006237506866455078,13.858027935028076,0.002171039581298828
13,14.0,14.9716796875,14.930656909942627,0.04102277755737305,14.905977010726929,0.06570267677307129
14,12.0,16.025360107421875,16.021512031555176,0.0038480758666992188,15.970914840698242,0.05444526672363281
15,11.0,16.95184326171875,16.760840892791748,0.19100236892700195,16.67861795425415,0.2732253074645996
16,14.0,17.40509033203125,17.396019458770752,0.009070873260498047,17.360294818878174,0.04479551315307617
17,16.0,,,,,
18,15.0,18.972869873046875,18.970284938812256,0.0025849342346191406,18.970284938812256,0.0025849342346191406
19,13.0,19.95086669921875,19.938107013702393,0.012759685516357422,19.938107013702393,0.012759685516357422
20,16.0,20.453582763671875,20.374102354049683,0.07948040962219238,20.35006833076477,0.10351443290710449
21,16.0,21.33843994140625,21.329633951187134,0.008805990219116211,21.32959532737732,0.008844614028930664
22,10.0,22.753143310546875,22.726105451583862,0.027037858963012695,22.74252152442932,0.010621786117553711
