# timestamps [seconds],pts
13159.665172,0
13159.712093,3074
13159.757457,6047
13159.824558,10445
13159.882366,14233
13159.952961,18860
13159.993351,21507
13160.024265,23533
13160.075588,26896
13160.125782,30186
13160.161731,32542
13160.225208,36701
13160.285145,40629
13160.351963,45008
13160.387043,47307
13160.430485,50154
13160.474796,53058
13160.525417,56376
13160.568355,59190
13160.627140,63042
13160.713398,68695
13160.769245,72355
13160.789066,73654
13160.832302,76487
13160.877697,79462
13160.932743,83070
13160.996898,87274
13161.097988,93899
13161.180446,99303
13161.207546,101079
13161.249424,103823
13161.292171,106625
13161.339718,109741
13161.397953,113557
13161.478245,118819
13161.553371,123743
13161.593548,126376
13161.640827,129474
13161.686245,132450
13161.741916,136099
13161.794483,139544
13161.880893,145207
13161.943432,149305
13161.978351,151594
13162.016865,154118
13162.052486,156452
13162.094143,159182
13162.143520,162418
13162.198086,165994
13162.292850,172204
13162.366085,177004
13162.397449,179059
13162.429119,181135
13162.475261,184159
13162.523563,187324
13162.581577,191126
13162.659290,196219
13162.749843,202153
13162.795330,205134
13162.828686,207320
13162.878727,210600
13162.932194,214104
13162.995884,218278
13163.097126,224913
13163.180835,230398
13163.208194,232191
13163.244755,234587
13163.291889,237676
13163.340374,240854
13163.397213,244579
13163.474972,249675
13163.550060,254596
13163.581211,256637
13163.621570,259282
13163.659260,261752
13163.709430,265040
13163.757931,268218
13163.826504,272712
13163.879139,276162
13163.950001,280806
13163.987575,283268
13164.023258,285607
13164.060131,288023
13164.108745,291209
13164.153782,294161
13164.223133,298705
13164.295368,303439
13164.366680,308113
13164.392154,309782
13164.434009,312525
13164.475025,315213
13164.519359,318119
13164.565532,321145
13164.622188,324858
13164.698116,329833
13164.759060,333827
13164.790981,335919
13164.830799,338529
13164.891224,342489
13164.933567,345264
13164.992794,349145
13165.083721,355104
13165.168049,360630
13165.200886,362782
13165.249096,365942
13165.292148,368763
13165.334545,371542
13165.394085,375444
13165.477314,380898
13165.546123,385408
13165.581417,387721
13165.629177,390851
13165.669323,393481
13165.719700,396783
13165.761913,399549
13165.831882,404135
13165.901561,408701
13165.976619,413620
13166.016994,416266
13166.060802,419137
13166.108089,422236
13166.150211,424997
13166.241894,431005
13166.332218,436924
13166.381443,440150
13166.410457,442052
13166.436573,443763
13166.492054,447399
13166.528858,449811
