key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,30.01.2024
Export Time,06:32:54
Frame Index Range:,0 - 945
Relative Time Range,00:00.000 - 00:50.063
Absolute Time Range,13159.66517233423 - 13209.728587861573
