key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.02.2024
Export Time,16:05:16
Frame Index Range:,0 - 1628
Relative Time Range,00:00.000 - 00:19.494
Absolute Time Range,1746.3470989429627 - 1765.8414255344544
