key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,08.02.2024
Export Time,15:46:24
Frame Index Range:,0 - 3105
Relative Time Range,00:00.000 - 00:49.953
Absolute Time Range,909.1716527005615 - 959.1249684354248
