index,timestamp,label,duration
121,1218.4208059321595,Experiment Started,0.0
389,1222.4359121333314,Object Spawned,0.0
491,1223.9442739497376,Object Spawned,0.0
527,1224.4689016352845,Intercepted,0.0
594,1225.4479665766908,Object Spawned,0.0
619,1225.9950094233704,Intercepted,0.0
656,1226.5565481196595,Intercepted,0.0
686,1226.966841698761,Object Spawned,0.0
792,1228.4829854975892,Object Spawned,0.0
809,1228.6842641841126,Intercepted,0.0
869,1229.7635488520814,Intercepted,0.0
886,1229.992690087433,Object Spawned,0.0
976,1231.5018606196595,Object Spawned,0.0
1010,1231.9915914546204,Intercepted,0.0
1048,1232.5454092036439,Intercepted,0.0
1079,1233.0101156245423,Object Spawned,0.0
1145,1234.1092977534486,Intercepted,0.0
1174,1234.5170888911439,Object Spawned,0.0
1265,1235.7867269526673,Intercepted,0.0
1283,1236.0155630122376,Object Spawned,0.0
1389,1237.517867089386,Object Spawned,0.0
1402,1237.6902914057923,Intercepted,0.0
1497,1239.0204610835267,Object Spawned,0.0
1506,1239.1514577876283,Intercepted,0.0
1566,1240.0592947016908,Intercepted,0.0
1598,1240.5330495845033,Object Spawned,0.0
1678,1241.6650381098939,Intercepted,0.0
1703,1242.0392599116517,Object Spawned,0.0
1804,1243.5434103022767,Object Spawned,0.0
1817,1243.7443075190736,Intercepted,0.0
1902,1244.9075918208314,Intercepted,0.0
1912,1245.0554189692689,Object Spawned,0.0
2013,1246.5001363764954,Intercepted,0.0
2017,1246.563506127472,Object Spawned,0.0
2111,1248.0764150630189,Object Spawned,0.0
2139,1248.490981103058,Intercepted,0.0
2217,1249.599410058136,Object Spawned,0.0
2251,1250.0768117915345,Intercepted,0.0
2307,1250.8087453852845,Intercepted,0.0
2329,1251.117201806183,Object Spawned,0.0
2446,1252.8091726313783,Intercepted,0.0
2682,1256.623076439972,Experiment Ended,0.0
