index,timestamp,label,duration
277,5653.849704066406,Object Spawned,0.0
557,5657.853183070312,Object Spawned,0.0
836,5661.858004847656,Object Spawned,0.0
1116,5665.851687708984,Object Spawned,0.0
1397,5669.869418421875,Object Spawned,0.0
1678,5673.86917428125,Object Spawned,0.0
1957,5677.873477259765,Object Spawned,0.0
2223,5681.881930628906,Object Spawned,0.0
2503,5685.881808558594,Object Spawned,0.0
2782,5689.88592843164,Spawning Finished,0.0
