index,timestamp,label,duration
110,1281.6503561271056,Experiment Started,0.0
370,1285.6599081290587,Object Spawned,0.0
456,1287.0815084708556,Intercepted,0.0
492,1287.6578024161681,Object Spawned,0.0
575,1289.0623739493712,Intercepted,0.0
615,1289.6582983268127,Object Spawned,0.0
712,1291.0961797965392,Intercepted,0.0
751,1291.6810415519103,Object Spawned,0.0
855,1293.2757223380431,Intercepted,0.0
878,1293.6810339225158,Object Spawned,0.0
967,1295.1199987662658,Intercepted,0.0
1002,1295.6862676871642,Object Spawned,0.0
1121,1297.697337938629,Intercepted,0.0
1122,1297.7105978263244,Object Spawned,0.0
1191,1298.7553823722228,Intercepted,0.0
1254,1299.7097509635314,Object Spawned,0.0
1312,1300.7899282706603,Intercepted,0.0
1374,1301.7185018790587,Object Spawned,0.0
1478,1303.2992971671447,Intercepted,0.0
1506,1303.7239721549377,Object Spawned,0.0
1613,1305.6011541617736,Intercepted,0.0
1623,1305.7371786368712,Object Spawned,0.0
1697,1306.845874620758,Intercepted,0.0
1756,1307.7450216544494,Object Spawned,0.0
1856,1309.3971899283752,Intercepted,0.0
1880,1309.767535997711,Object Spawned,0.0
1996,1311.6736181510314,Intercepted,0.0
2004,1311.7983434928283,Object Spawned,0.0
2115,1313.7612264884337,Intercepted,0.0
2117,1313.8133428824767,Object Spawned,0.0
2190,1314.977840257965,Intercepted,0.0
2235,1315.8183935416564,Object Spawned,0.0
2337,1317.4323614371642,Intercepted,0.0
2357,1317.8178365958556,Object Spawned,0.0
2444,1319.1557653678283,Intercepted,0.0
2487,1319.8342626822814,Object Spawned,0.0
2614,1321.761791063629,Intercepted,0.0
2618,1321.826732469879,Object Spawned,0.0
2690,1322.92095549234,Intercepted,0.0
2752,1323.8292425406798,Object Spawned,0.0
2859,1325.4883611930236,Intercepted,0.0
3137,1329.8383672965392,Experiment Ended,0.0
3262,1331.8372991813048,Recording Ended,0.0
