gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
5042.1974455,23,0.8133947800353714,0.046722687556033635,-0.4966134518525096,5042.190605-0 5042.204285999999-1,-89.90832772136577,111.19498723888033,154.96226946280285,43.96827179901926,-7.263105025322535,-10.530741344846252,-0.53478333533078,0.3487130670670292,0.7696791416617654,-35.01444517891605,-7.717705182192573,-5.355164831637431,-0.26882916085743097,0.697496043321622,0.664251572691681
5042.204285999999,24,0.844608698289661,0.09492556080287332,-0.9494975562263881,5042.204285999999-1,-169.4290256076315,341.0303164786184,326.77062151420307,,,,,,,-35.01444517891605,-7.717705182192573,-5.355164831637431,-0.26882916085743097,0.697496043321622,0.664251572691681
5042.219679999999,24,0.8008059427265063,0.34678908164639644,-0.403846341486336,5042.219679999999-1,-80.41343734846834,266.8431399231604,410.04256487451215,,,,,,,-35.01444517891605,-7.717705182192573,-5.355164831637431,-0.09079798433910462,0.549121690210706,0.8307954594122992
5042.22496,25,0.9787050566259633,1.2970065032733913,4.046062216762921,5042.22496-1,176.45629407067867,-441.6153563911562,172.96782294313275,,,,,,,-35.01444517891605,-7.717705182192573,-5.355164831637431,-0.28288369778352523,0.8986661231466974,-0.33522531622299073
5042.289158,28,0.99,0.49784923470661624,-1.8434112470339232,5042.289158-1,-0.6870048677961336,421.0540327847841,249.54956945641914,,,,,,,-35.01444517891605,-7.717705182192573,-5.355164831637431,0.06865488062223982,0.8575434759339534,0.5098094685761131
5042.321237,30,0.724271206769086,0.5114753631630957,1.6058837628929283,5042.321237-1,5.72743814024912,-310.4745290534676,389.9276200216001,,,,,,,-35.01444517891605,-7.717705182192573,-5.355164831637431,0.058574014077333834,0.6363844684713204,-0.7691449103799253
5042.6010639999995,49,0.8252970689053083,0.21209734031982164,-0.10185409364448983,5042.6010639999995-0,-151.38274253842224,178.0100153133821,410.79081290712,43.96827179901926,-7.263105025322535,-10.530741344846252,-0.3907020286748831,0.37054624067740943,0.8426431085039326,,,,,,
5042.632925999999,50,0.7622651917951508,0.22248863305427463,-0.09788452368484779,5042.632925999999-0,-146.71058508408512,177.79539610198796,413.01963900944617,43.96827179901926,-7.263105025322535,-10.530741344846252,-0.38135771376620875,0.3701170022546211,0.8471007607085849,,,,,,
5042.664019999999,53,0.7447949215346777,2.689306211012981,-0.4540236475459285,5042.664019999999-1,491.5220383018032,120.4808859434383,175.39875897287484,,,,,,,-35.024661163759475,-7.754713492329817,-5.390068869663711,-0.9129947542760873,-0.2254523449022169,-0.3400173802064223
5043.170671,88,0.9883203082476738,0.8200334842476004,-2.4403695095943942,5043.170671-1,83.36216700342831,430.82213963129834,203.4996216865919,,,,,,,-35.024661163759475,-7.754713492329817,-5.390068869663711,0.2367736563343756,0.8771537062472563,0.4177793811125112
