key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,22.02.2024
Export Time,17:00:06
Frame Index Range:,0 - 1006
Relative Time Range,00:00.000 - 00:14.022
Absolute Time Range,5041.817164709137 - 5055.839934637115
