# timestamps [seconds],pts
5041.817165,0
5041.832980,1036
5041.841037,1564
5041.849056,2089
5041.887519,4610
5041.895404,5127
5041.926379,7157
5041.926803,7185
5041.956401,9124
5041.970123,10024
5041.978370,10564
5042.000156,11992
5042.010917,12697
5042.048839,15182
5042.049403,15219
5042.066798,16359
5042.081226,17305
5042.114974,19516
5042.123596,20081
5042.145335,21506
5042.165172,22806
5042.174968,23448
5042.176044,23519
5042.196002,24827
5042.204715,25398
5042.240543,27746
5042.248641,28276
5042.267791,29531
5042.284587,30632
5042.302005,31774
5042.313693,32540
5042.336318,34022
5042.347591,34761
5042.357780,35429
5042.381755,37000
5042.382228,37031
5042.401908,38321
5042.416518,39278
5042.447257,41293
5042.447830,41330
5042.469234,42733
5042.490959,44157
5042.502792,44932
5042.514179,45678
5042.537315,47195
5042.548007,47895
5042.558357,48574
5042.574897,49657
5042.591472,50744
5042.603038,51502
5042.618247,52498
5042.649272,54532
5042.649890,54572
5042.671001,55956
5042.684535,56843
5042.694637,57505
5042.703315,58073
5042.719478,59133
5042.728381,59716
5042.750137,61142
5042.769073,62383
5042.780654,63142
5042.781532,63199
5042.800903,64469
5042.833587,66611
5042.842944,67224
5042.852180,67829
5042.873111,69201
5042.873538,69229
5042.894431,70598
5042.911693,71729
5042.920509,72307
5042.921058,72343
5042.947845,74099
5042.948642,74151
5042.959132,74838
5042.983688,76448
5042.994956,77186
5043.016731,78613
5043.034099,79751
5043.071796,82222
5043.072349,82258
5043.086238,83168
5043.108802,84647
5043.121574,85484
5043.130595,86075
5043.147136,87159
5043.156589,87779
5043.164943,88326
5043.188110,89844
5043.188579,89875
5043.207431,91111
5043.232551,92757
5043.241184,93323
5043.241775,93361
5043.266486,94981
5043.266853,95005
5043.285331,96216
5043.310447,97862
5043.330108,99150
5043.341262,99881
5043.345035,100128
5043.370189,101777
5043.370715,101811
5043.390262,103092
5043.407108,104196
5043.429523,105665
5043.445319,106701
5043.453376,107229
5043.464736,107973
5043.478626,108883
5043.501548,110386
5043.511428,111033
5043.512031,111073
5043.535514,112612
5043.536346,112666
5043.544757,113217
5043.567981,114739
5043.585800,115907
5043.608661,117405
5043.625282,118494
5043.634605,119105
5043.642265,119607
5043.659450,120734
5043.683494,122309
5043.684299,122362
5043.695480,123095
5043.713031,124245
5043.722858,124889
5043.732261,125505
5043.767703,127828
5043.768836,127902
5043.781406,128726
5043.806320,130359
5043.806758,130388
5043.815955,130990
