index,timestamp,label,duration,ObjectSpeed,id,objectType
26,8386.607804558838,Recording Ended,0.0,,,
142,8390.640019677247,Experiment Started,0.0,,,
142,8390.644177697266,Spawning,0.0,12.0,1,Obstacle
166,8391.532847664917,Intercepted,0.0,,1,Obstacle
182,8392.150750420655,Spawning,0.0,11.0,2,Obstacle
204,8393.058339379395,Intercepted,0.0,,2,Obstacle
220,8393.680699608887,Spawning,0.0,13.0,3,Obstacle
239,8394.50382735547,Intercepted,0.0,,3,Obstacle
259,8395.237412713135,Spawning,0.0,14.0,4,Obstacle
276,8395.944371483887,Intercepted,0.0,,4,Obstacle
297,8396.725514672364,Spawning,0.0,10.0,5,Obstacle
322,8397.755994103516,Intercepted,0.0,,5,Obstacle
335,8398.240044854248,Spawning,0.0,13.0,6,Obstacle
357,8399.100102685059,Intercepted,0.0,,6,Obstacle
374,8399.757920525635,Spawning,0.0,11.0,7,Obstacle
398,8400.77408339795,Intercepted,0.0,,7,Obstacle
410,8401.26839186963,Spawning,0.0,14.0,8,Obstacle
427,8401.991299889649,Intercepted,0.0,,8,Obstacle
448,8402.795880578125,Spawning,0.0,13.0,9,Obstacle
468,8403.605351708497,Intercepted,0.0,,9,Obstacle
487,8404.308041833008,Spawning,0.0,10.0,10,Obstacle
513,8405.376641533936,Intercepted,0.0,,10,Obstacle
524,8405.804639123047,Spawning,0.0,14.0,11,Obstacle
543,8406.612565301026,Intercepted,0.0,,11,Obstacle
561,8407.31382872876,Spawning,0.0,14.0,12,Obstacle
579,8408.030511162842,Intercepted,0.0,,12,Obstacle
599,8408.817796013916,Spawning,0.0,12.0,13,Obstacle
620,8409.675397179688,Intercepted,0.0,,13,Obstacle
638,8410.352441094483,Spawning,0.0,10.0,14,Obstacle
665,8411.413708947266,Intercepted,0.0,,14,Obstacle
677,8411.879201195801,Spawning,0.0,12.0,15,Obstacle
698,8412.767220757569,Intercepted,0.0,,15,Obstacle
854,8418.39609648999,Experiment Ended,0.0,,,
911,8420.402638695801,Recording Ended,0.0,,,
