key,value
Player Software Version,3.5.1
Data Format Version,2.0
Export Date,19.03.2024
Export Time,14:37:55
Frame Index Range:,0 - 940
Relative Time Range,00:00.000 - 00:35.748
Absolute Time Range,8385.674187920655 - 8421.422570489014
