# timestamps [seconds],pts
28044.848296,0
28044.857398,596
28044.877936,1942
28044.888884,2659
28044.925299,5046
28044.963790,7568
28044.976638,8410
28044.988204,9168
28045.005362,10293
28045.014334,10881
28045.024543,11550
28045.051528,13318
28045.061293,13958
28045.098426,16392
28045.120436,17834
28045.137397,18946
28045.163916,20684
28045.197493,22884
28045.206054,23445
28045.215544,24067
28045.242347,25824
28045.266272,27392
28045.286948,28747
28045.308280,30145
28045.329581,31541
28045.350852,32934
28045.375235,34532
28045.385009,35173
28045.397902,36018
28045.433028,38320
28045.473998,41005
28045.518111,43896
28045.528914,44604
28045.561629,46748
28045.572608,47467
28045.583243,48164
28045.617949,50439
28045.664962,53520
28045.665732,53570
28045.697242,55635
28045.706473,56240
28045.728232,57666
28045.760115,59756
28045.778189,60940
28045.801101,62442
28045.824927,64003
28045.834739,64646
28045.846305,65404
28045.876258,67367
28045.888358,68160
28045.916793,70023
28045.928862,70814
28045.939269,71496
28045.970298,73530
28045.981826,74285
28046.026175,77192
28046.037848,77957
28046.058394,79303
28046.070029,80066
28046.082190,80863
28046.105147,82367
28046.116645,83121
28046.127524,83834
28046.153991,85568
28046.154677,85613
28046.171698,86729
28046.200850,88639
28046.213324,89457
28046.234320,90833
28046.243560,91438
28046.255439,92217
28046.276847,93620
28046.287482,94317
28046.296256,94892
28046.327887,96965
28046.358802,98990
28046.380454,100409
28046.389495,101002
28046.400649,101733
28046.428176,103537
28046.438811,104234
28046.450301,104987
28046.480086,106939
28046.481055,107002
28046.494712,107897
28046.515380,109252
28046.537177,110680
28046.555404,111875
28046.566352,112592
28046.575621,113200
28046.609366,115411
28046.623015,116306
28046.632911,116954
28046.668860,119310
28046.679404,120001
28046.700621,121392
28046.711837,122127
28046.720237,122677
28046.746863,124422
28046.747611,124471
28046.758612,125192
28046.781813,126713
28046.791472,127346
28046.800566,127942
28046.818389,129110
28046.830848,129926
28046.841201,130605
28046.870795,132544
28046.897223,134276
28046.907836,134971
28046.945243,137423
28046.945990,137472
28046.965087,138723
28046.984854,140019
28046.996054,140753
28047.021094,142394
28047.033911,143234
28047.046881,144084
28047.071196,145677
28047.096968,147366
28047.119895,148869
28047.129729,149513
28047.141036,150254
28047.174681,152459
28047.184645,153112
28047.197203,153935
28047.227881,155946
28047.250838,157450
28047.260649,158093
28047.282866,159549
28047.292990,160213
28047.303794,160921
28047.324637,162287
28047.336562,163068
28047.346579,163725
28047.376845,165708
28047.387938,166435
28047.421347,168624
28047.423079,168738
28047.434508,169487
28047.457320,170982
28047.466407,171577
28047.487807,172980
28047.504798,174093
28047.533225,175956
28047.543837,176652
28047.544776,176713
28047.579718,179003
28047.580855,179078
28047.592635,179850
28047.623603,181879
28047.625365,181995
28047.637984,182822
28047.679168,185521
